('74920585', '69946549'): 1.00
('73956664', '69946549'): 1.00
('6767771', '69946549'): 1.00
('37961969', '69946549'): 1.00
('28226490', '69946549'): 1.00
('77103950', '69946549'): 1.00
('84330567', '69946549'): 1.00
('572850', '69946549'): 0.99
('69946549', '1329620'): 0.99
('92731385', '69946549'): 0.99
('69946549', '60362066'): 0.98
('44362883', '69946549'): 0.98
('70534340', '69946549'): 0.98
('54757758', '69946549'): 0.98
('69946549', '62962630'): 0.98
('87746184', '69946549'): 0.98
('69946549', '36637374'): 0.98
('68468459', '69946549'): 0.98
('69946549', '11321089'): 0.98
('44146295', '69946549'): 0.98
('69946549', '36577931'): 0.97
('69946549', '17751597'): 0.97
('69946549', '38436986'): 0.97
('95515789', '69946549'): 0.97
('48130397', '69946549'): 0.97
('51409648', '69946549'): 0.97
('25451383', '69946549'): 0.96
('82738008', '69946549'): 0.96
('69946549', '19096726'): 0.96
('25926710', '69946549'): 0.96
('69946549', '24915933'): 0.96
('18973184', '69946549'): 0.96
('74078255', '69946549'): 0.95
('45484331', '69946549'): 0.95
('63542003', '69946549'): 0.94
('55285840', '69946549'): 0.94
('99937011', '69946549'): 0.94
('55623480', '69946549'): 0.94
('69946549', '6763530'): 0.94
('69946549', '6855503'): 0.94
('69946549', '6498706'): 0.94
('69946549', '72272462'): 0.94
('62320425', '69946549'): 0.94
('69946549', '11765832'): 0.94
('69946549', '33878367'): 0.93
('3717252', '69946549'): 0.93
('3410461', '69946549'): 0.92
('69946549', '79109599'): 0.92
('41209827', '69946549'): 0.92
('39552584', '69946549'): 0.91
('94977269', '69946549'): 0.91
('81555617', '69946549'): 0.91
('69946549', '18666161'): 0.91
('60242223', '69946549'): 0.91
('32731036', '69946549'): 0.90
('69946549', '34995106'): 0.90
('35726888', '69946549'): 0.89
('32756828', '69946549'): 0.89
('33854624', '69946549'): 0.89
('34090915', '69946549'): 0.88
('1906812', '69946549'): 0.88
('69946549', '29948294'): 0.88
('6637331', '69946549'): 0.88
('81439173', '69946549'): 0.88
('41373230', '69946549'): 0.88
('72329844', '69946549'): 0.87
('21044178', '69946549'): 0.87
('69946549', '4928565'): 0.87
('72656408', '69946549'): 0.86
('92919429', '69946549'): 0.86
('34848821', '69946549'): 0.86
('69946549', '24094653'): 0.85
('5560911', '69946549'): 0.85
('69946549', '79864860'): 0.85
('27381364', '69946549'): 0.84
('70369116', '69946549'): 0.84
('69946549', '31259606'): 0.84
('8264361', '69946549'): 0.83
('69946549', '92892239'): 0.83
('99456344', '69946549'): 0.83
('75500286', '69946549'): 0.83
('50277355', '69946549'): 0.83
('69946549', '30328508'): 0.81
('69946549', '92079625'): 0.81
('3040496', '69946549'): 0.81
('69946549', '61173621'): 0.81
('69946549', '34773082'): 0.81
('69946549', '99426834'): 0.80
('99543666', '69946549'): 0.80
('9742784', '69946549'): 0.79
('69946549', '11110587'): 0.78
('32909498', '69946549'): 0.78
('71832012', '69946549'): 0.78
('73082255', '69946549'): 0.78
('69946549', '1475311'): 0.78
('66011101', '69946549'): 0.77
('69946549', '7436169'): 0.76
('69946549', '27552504'): 0.76
('69946549', '35311929'): 0.76
('69946549', '55920742'): 0.76
('69946549', '19535693'): 0.76
('69946549', '6609736'): 0.76
('55063751', '69946549'): 0.75
('9753964', '69946549'): 0.75
('25311006', '69946549'): 0.75
('69946549', '68431965'): 0.75
('68304193', '69946549'): 0.75
('69946549', '81767888'): 0.75
('69540484', '69946549'): 0.75
('84815190', '69946549'): 0.74
('98127546', '69946549'): 0.74
('69946549', '48048590'): 0.74
('1984618', '69946549'): 0.73
('70711847', '69946549'): 0.73
('90590303', '69946549'): 0.73
('69946549', '67723438'): 0.73
('28954097', '69946549'): 0.72
('1769875', '69946549'): 0.72
('92565383', '69946549'): 0.72
('69946549', '48626373'): 0.72
('63136489', '69946549'): 0.72
('69946549', '55273560'): 0.72
('81439174', '69946549'): 0.72
('69946549', '55461744'): 0.72
('23076639', '69946549'): 0.72
('35269904', '69946549'): 0.72
('9411399', '69946549'): 0.72
('32807846', '69946549'): 0.72
('52350806', '69946549'): 0.72
('23434538', '69946549'): 0.72
('28674152', '69946549'): 0.72
('90448279', '69946549'): 0.71
('65681983', '69946549'): 0.71
('69946549', '43227'): 0.71
('16605586', '69946549'): 0.71
('24224830', '69946549'): 0.71
('15693423', '69946549'): 0.71
('60465049', '69946549'): 0.71
('69946549', '68215963'): 0.71
('81914447', '69946549'): 0.71
('69946549', '5611760'): 0.70
('94145021', '69946549'): 0.70
('69946549', '61677004'): 0.70
('38264974', '69946549'): 0.70
('94016752', '69946549'): 0.70
('69946549', '39915560'): 0.70
('69946549', '14558127'): 0.70
('69946549', '70427670'): 0.70
('69680031', '69946549'): 0.70
('69946549', '66309175'): 0.69
('60303688', '69946549'): 0.69
('69946549', '89181134'): 0.69
('38814750', '69946549'): 0.69
('69946549', '35272499'): 0.69
('69946549', '24207889'): 0.69
('49036338', '69946549'): 0.69
('69946549', '46986414'): 0.69
('69946549', '44932065'): 0.69
('69946549', '37818794'): 0.69
('8267140', '69946549'): 0.69
('69946549', '30757127'): 0.68
('22850702', '69946549'): 0.68
('73628505', '69946549'): 0.68
('69946549', '44394295'): 0.68
('27204311', '69946549'): 0.68
('69946549', '17825378'): 0.68
('69946549', '77723643'): 0.68
('24299458', '69946549'): 0.68
('69946549', '45883110'): 0.68
('20366274', '69946549'): 0.68
('69946549', '25586143'): 0.68
('18144507', '69946549'): 0.68
('69946549', '34447918'): 0.68
('69946549', '49964567'): 0.68
('73542331', '69946549'): 0.68
('50907446', '69946549'): 0.68
('69946549', '97518132'): 0.68
('54693926', '69946549'): 0.67
('60461804', '69946549'): 0.67
('69946549', '44536921'): 0.67
('69946549', '38811586'): 0.67
('21011044', '69946549'): 0.67
('97268402', '69946549'): 0.67
('69946549', '90809975'): 0.67
('69946549', '69750546'): 0.67
('69946549', '440556'): 0.67
('52947044', '69946549'): 0.67
('83326048', '69946549'): 0.67
('69946549', '23020408'): 0.66
('31149212', '69946549'): 0.66
('69946549', '7084129'): 0.66
('69946549', '47222536'): 0.66
('50237654', '69946549'): 0.66
('73580471', '69946549'): 0.66
('69946549', '48680970'): 0.66
('69946549', '59514116'): 0.66
('97661969', '69946549'): 0.66
('69946549', '41721210'): 0.66
('69946549', '10045474'): 0.66
('97631303', '69946549'): 0.65
('69946549', '12266229'): 0.65
('35480699', '69946549'): 0.65
('29301450', '69946549'): 0.65
('72892473', '69946549'): 0.65
('69946549', '53493204'): 0.65
('95477924', '69946549'): 0.65
('69946549', '31643613'): 0.65
('84040113', '69946549'): 0.65
('69946549', '38033121'): 0.64
('69946549', '51570882'): 0.64
('15291624', '69946549'): 0.64
('82732705', '69946549'): 0.64
('66403530', '69946549'): 0.64
('69946549', '90020780'): 0.64
('69946549', '14532163'): 0.64
('46772449', '69946549'): 0.64
('80532587', '69946549'): 0.64
('73642296', '69946549'): 0.64
('54974237', '69946549'): 0.64
('58481572', '69946549'): 0.64
('69946549', '22110647'): 0.64
('69946549', '4167084'): 0.64
('69946549', '80117527'): 0.64
('95474755', '69946549'): 0.64
('69946549', '53819028'): 0.63
('69946549', '10963799'): 0.63
('69946549', '85059922'): 0.63
('69946549', '62111090'): 0.63
('65741786', '69946549'): 0.63
('93600443', '69946549'): 0.63
('69946549', '12580477'): 0.63
('23002292', '69946549'): 0.63
('69946549', '14087893'): 0.63
('69946549', '8148322'): 0.63
('69946549', '17484499'): 0.63
('69946549', '3078380'): 0.62
('21639276', '69946549'): 0.62
('35405755', '69946549'): 0.62
('69946549', '11747708'): 0.62
('69946549', '43331750'): 0.62
('97940434', '69946549'): 0.62
('69946549', '34755994'): 0.62
('33158448', '69946549'): 0.62
('69946549', '41578483'): 0.61
('69946549', '4064256'): 0.61
('69946549', '4939890'): 0.61
('81866673', '69946549'): 0.61
('69946549', '37683547'): 0.61
('24508238', '69946549'): 0.61
('69946549', '66570171'): 0.61
('41420027', '69946549'): 0.61
('49202162', '69946549'): 0.61
('94392192', '69946549'): 0.61
('90179822', '69946549'): 0.61
('69946549', '51023024'): 0.61
('69946549', '102380'): 0.61
('69946549', '17266660'): 0.61
('82956214', '69946549'): 0.61
('69946549', '55204071'): 0.60
('43694650', '69946549'): 0.60
('69946549', '53971455'): 0.60
('69946549', '84433295'): 0.60
('69946549', '69601012'): 0.60
('38342335', '69946549'): 0.60
('4031928', '69946549'): 0.60
('69946549', '14017402'): 0.60
('84211599', '69946549'): 0.59
('45819647', '69946549'): 0.59
('69946549', '76647978'): 0.59
('59438930', '69946549'): 0.59
('71607202', '69946549'): 0.59
('92714517', '69946549'): 0.59
('2347656', '69946549'): 0.59
('69946549', '74822425'): 0.59
('81497285', '69946549'): 0.59
('96729612', '69946549'): 0.59
('45935145', '69946549'): 0.59
('98715423', '69946549'): 0.58
('20899496', '69946549'): 0.58
('2857636', '69946549'): 0.58
('98095162', '69946549'): 0.58
('41999284', '69946549'): 0.58
('69946549', '1225009'): 0.58
('5380979', '69946549'): 0.58
('18144506', '69946549'): 0.58
('37629703', '69946549'): 0.58
('96633955', '69946549'): 0.58
('69946549', '56713174'): 0.58
('69946549', '83107873'): 0.58
('74018812', '69946549'): 0.58
('39568067', '69946549'): 0.58
('30680659', '69946549'): 0.58
