('94119480', '31386180'): 1.00
('54387923', '31386180'): 0.97
('31386180', '263926'): 0.94
('54100561', '31386180'): 0.94
('16638212', '31386180'): 0.93
('28115467', '31386180'): 0.93
('31386180', '82243738'): 0.93
('55289183', '31386180'): 0.92
('31386180', '87148330'): 0.92
('15862758', '31386180'): 0.92
('31386180', '95568112'): 0.92
('70219023', '31386180'): 0.92
('40921744', '31386180'): 0.92
('92610868', '31386180'): 0.91
('18168997', '31386180'): 0.91
('90098780', '31386180'): 0.90
('48964966', '31386180'): 0.90
('88234365', '31386180'): 0.89
('31386180', '61248471'): 0.89
('49195710', '31386180'): 0.89
('31386180', '15943341'): 0.89
('89477759', '31386180'): 0.89
('94853057', '31386180'): 0.88
('31386180', '54175023'): 0.88
('69840739', '31386180'): 0.87
('31386180', '32775808'): 0.87
('63845230', '31386180'): 0.87
('31386180', '64635042'): 0.86
('64734921', '31386180'): 0.86
('31386180', '88033975'): 0.86
('31386180', '93483212'): 0.86
('31386180', '77205367'): 0.86
('31386180', '22386234'): 0.85
('39552864', '31386180'): 0.85
('42216237', '31386180'): 0.85
('48589580', '31386180'): 0.84
('987311', '31386180'): 0.84
('31386180', '65314286'): 0.84
('42421606', '31386180'): 0.84
('31386180', '26988374'): 0.84
('3629090', '31386180'): 0.84
('31386180', '29223325'): 0.84
('31434645', '31386180'): 0.84
('31386180', '68937720'): 0.84
('56984514', '31386180'): 0.84
('8198712', '31386180'): 0.84
('37972500', '31386180'): 0.84
('31386180', '41309158'): 0.84
('36584821', '31386180'): 0.84
('31386180', '82734805'): 0.83
('31386180', '1005587'): 0.83
('31386180', '35772782'): 0.83
('95612049', '31386180'): 0.83
('56058749', '31386180'): 0.83
('31386180', '45943123'): 0.83
('31386180', '25958491'): 0.83
('93191801', '31386180'): 0.83
('31386180', '75326861'): 0.83
('93672138', '31386180'): 0.83
('31386180', '5288597'): 0.83
('31386180', '58775978'): 0.83
('31386180', '60168186'): 0.83
('7610394', '31386180'): 0.83
('62541668', '31386180'): 0.83
('31386180', '54094821'): 0.82
('31386180', '92435533'): 0.82
('77538567', '31386180'): 0.82
('31386180', '33015627'): 0.82
('31386180', '31919988'): 0.82
('31386180', '35011819'): 0.82
('20612097', '31386180'): 0.82
('67234805', '31386180'): 0.82
('31386180', '50139096'): 0.82
('31386180', '85103922'): 0.82
('18386170', '31386180'): 0.82
('27993919', '31386180'): 0.82
('95440946', '31386180'): 0.82
('31386180', '15914410'): 0.82
('31386180', '12444060'): 0.81
('27107590', '31386180'): 0.81
('31386180', '32296881'): 0.81
('97300502', '31386180'): 0.81
('3113836', '31386180'): 0.81
('29650040', '31386180'): 0.81
('4167084', '31386180'): 0.81
('91598270', '31386180'): 0.81
('31386180', '69514125'): 0.81
('31386180', '11830996'): 0.81
('80776622', '31386180'): 0.81
('31386180', '36378044'): 0.81
('19523799', '31386180'): 0.81
('66523544', '31386180'): 0.81
('73507661', '31386180'): 0.81
