('73642296', '52038441'): 1.00
('52038441', '18144506'): 0.99
('93039339', '52038441'): 0.98
('52038441', '29301450'): 0.95
('52038441', '59438930'): 0.94
('52038441', '22110647'): 0.94
('52038441', '41443249'): 0.94
('52038441', '61292243'): 0.94
('52038441', '85032782'): 0.94
('52038441', '71197066'): 0.93
('52038441', '83236601'): 0.92
('52038441', '33925864'): 0.92
('73304257', '52038441'): 0.92
('52038441', '80845034'): 0.92
('96157835', '52038441'): 0.91
('78534861', '52038441'): 0.91
('91800273', '52038441'): 0.91
('52038441', '72270339'): 0.91
('52038441', '99984170'): 0.91
('52038441', '8728498'): 0.91
('52038441', '89023486'): 0.91
('52038441', '62777823'): 0.90
('52038441', '65734501'): 0.90
('52038441', '99162522'): 0.90
('52038441', '37495766'): 0.90
('78144171', '52038441'): 0.90
('52038441', '37617348'): 0.90
('52038441', '26372118'): 0.90
('97526666', '52038441'): 0.90
('52038441', '42198835'): 0.90
('52038441', '34447918'): 0.90
('52038441', '26556950'): 0.90
('52038441', '87871125'): 0.90
('82385847', '52038441'): 0.89
('23002292', '52038441'): 0.89
('52038441', '60643553'): 0.89
('52038441', '38339996'): 0.89
('8267140', '52038441'): 0.89
('52159691', '52038441'): 0.88
('52038441', '86937530'): 0.88
('96345188', '52038441'): 0.88
('52038441', '24940422'): 0.88
('52038441', '62541668'): 0.88
('3298689', '52038441'): 0.87
('52038441', '64612053'): 0.87
('52038441', '13974207'): 0.87
('52038441', '24508238'): 0.87
('87321742', '52038441'): 0.87
('31314549', '52038441'): 0.87
('52038441', '34267821'): 0.86
('52038441', '63436931'): 0.86
('52038441', '59859086'): 0.86
('52038441', '26973555'): 0.86
('52038441', '23689428'): 0.86
('71832012', '52038441'): 0.86
('52038441', '15982593'): 0.86
('52038441', '15939229'): 0.86
('52038441', '61245672'): 0.85
('73347079', '52038441'): 0.85
('52038441', '65305468'): 0.85
('36429703', '52038441'): 0.85
('93854893', '52038441'): 0.85
('97268402', '52038441'): 0.85
('52038441', '48626373'): 0.85
('31149212', '52038441'): 0.85
('52038441', '62592805'): 0.85
('52038441', '42493140'): 0.85
('52038441', '41371602'): 0.85
('52038441', '15005145'): 0.85
('52038441', '61668670'): 0.85
('52038441', '82112494'): 0.85
('52038441', '70493141'): 0.84
('86331741', '52038441'): 0.84
('43316238', '52038441'): 0.84
('52038441', '77765207'): 0.84
('52038441', '78888899'): 0.84
('52038441', '48815792'): 0.84
('52038441', '24842059'): 0.84
('52038441', '63899465'): 0.84
('52038441', '57160136'): 0.83
('52038441', '80117527'): 0.83
('52038441', '4160316'): 0.83
('52038441', '35405755'): 0.83
('93332803', '52038441'): 0.83
('52038441', '83334932'): 0.83
('52038441', '39568067'): 0.83
('52038441', '30680659'): 0.83
('52038441', '80965043'): 0.83
('52038441', '38745520'): 0.83
('52038441', '56063182'): 0.83
('94392192', '52038441'): 0.83
('52038441', '67972302'): 0.82
('52038441', '3285551'): 0.82
('73542331', '52038441'): 0.82
('52038441', '16360142'): 0.82
('52038441', '2563463'): 0.82
('52038441', '14025912'): 0.82
('52038441', '27182739'): 0.82
('52038441', '64211118'): 0.82
('52038441', '36521307'): 0.82
('52038441', '19510093'): 0.82
('52038441', '44405066'): 0.81
('52038441', '88093706'): 0.81
('52038441', '21057444'): 0.81
('94145021', '52038441'): 0.81
('52038441', '43735670'): 0.81
('69540484', '52038441'): 0.81
('52038441', '99885917'): 0.81
('52038441', '91953000'): 0.81
('52038441', '4928565'): 0.81
('52038441', '57329501'): 0.81
('52038441', '91027843'): 0.81
('52038441', '36492575'): 0.81
('52038441', '52945066'): 0.81
('52038441', '85692042'): 0.81
('52038441', '16169772'): 0.81
('52038441', '78661338'): 0.81
('52038441', '46947713'): 0.81
('84546257', '52038441'): 0.80
('68304193', '52038441'): 0.80
('52038441', '87804365'): 0.80
('52038441', '30691817'): 0.80
('52038441', '20934852'): 0.80
('52038441', '5524387'): 0.80
('52038441', '16889337'): 0.80
('98506199', '52038441'): 0.80
('52038441', '40155014'): 0.80
('52038441', '43262273'): 0.80
('52038441', '62015408'): 0.80
('52038441', '17946349'): 0.80
('52038441', '52843699'): 0.80
('54594017', '52038441'): 0.79
('52038441', '88021907'): 0.79
('21639276', '52038441'): 0.79
('92519087', '52038441'): 0.79
('89558743', '52038441'): 0.79
('52038441', '28174796'): 0.79
('52038441', '57314798'): 0.79
('72330894', '52038441'): 0.79
('52038441', '47910940'): 0.78
('52038441', '77913594'): 0.78
('52038441', '37343995'): 0.78
('52038441', '90000652'): 0.78
('52038441', '83827392'): 0.78
('97661969', '52038441'): 0.78
('52038441', '197042'): 0.78
('52038441', '5352328'): 0.78
('52038441', '59242457'): 0.78
('64276752', '52038441'): 0.78
('52038441', '28400508'): 0.78
('52038441', '16474916'): 0.78
('52038441', '23516703'): 0.78
('52038441', '62242678'): 0.77
('28781003', '52038441'): 0.77
('52038441', '21123811'): 0.77
('52038441', '42741437'): 0.77
('52038441', '46502744'): 0.77
('52038441', '27572350'): 0.77
('52038441', '29726552'): 0.77
('52038441', '81566151'): 0.77
('52038441', '71948047'): 0.77
('52038441', '20212491'): 0.77
('52038441', '82983267'): 0.77
('52038441', '79130389'): 0.77
('52038441', '52645235'): 0.77
('52038441', '82257671'): 0.77
('52038441', '41165831'): 0.77
('52038441', '53417695'): 0.77
('52038441', '56700100'): 0.77
('52038441', '82105704'): 0.77
('52038441', '66403530'): 0.77
('52038441', '21347668'): 0.77
('52038441', '67680512'): 0.77
('52038441', '25550531'): 0.77
('52038441', '29599813'): 0.76
('52038441', '80801743'): 0.76
('52038441', '35261759'): 0.76
('52038441', '56727340'): 0.76
('52038441', '79933029'): 0.76
('52038441', '27412542'): 0.76
('52038441', '24269961'): 0.76
('52038441', '31588572'): 0.76
('52038441', '24434049'): 0.76
('52038441', '55584558'): 0.76
('52038441', '98049934'): 0.76
('52038441', '5530780'): 0.76
('52038441', '53701457'): 0.76
('52038441', '78135071'): 0.76
('52038441', '10389142'): 0.76
('52038441', '30095833'): 0.76
('52038441', '35269904'): 0.76
('52038441', '67712104'): 0.76
('52038441', '53624265'): 0.76
('52038441', '56003780'): 0.76
('52038441', '35480699'): 0.76
('52038441', '53776969'): 0.76
('52038441', '43863925'): 0.76
('52038441', '51339637'): 0.76
('52038441', '4031928'): 0.76
('52038441', '57541158'): 0.76
('52038441', '93084621'): 0.76
('52038441', '73628505'): 0.75
('52038441', '26236560'): 0.75
('52038441', '1966438'): 0.75
('52038441', '7403341'): 0.75
('52038441', '88554436'): 0.75
('52038441', '36956512'): 0.75
('52038441', '26889158'): 0.75
('52038441', '41524885'): 0.75
('52038441', '2347477'): 0.75
('52038441', '52155219'): 0.75
('52038441', '72291078'): 0.75
('52038441', '1295111'): 0.75
('94016752', '52038441'): 0.75
('52038441', '87327776'): 0.75
('52038441', '52277807'): 0.75
('52038441', '77891946'): 0.75
('52038441', '5043010'): 0.75
('52038441', '90361010'): 0.75
('52038441', '55273560'): 0.74
('52038441', '27243130'): 0.74
('52038441', '62849088'): 0.74
('52038441', '58921041'): 0.74
('52038441', '9349094'): 0.74
('52038441', '98452268'): 0.74
('52038441', '48608796'): 0.74
('52038441', '60303245'): 0.74
('54082269', '52038441'): 0.74
('52038441', '72971064'): 0.74
('52038441', '14812471'): 0.74
('52038441', '14934922'): 0.74
('52038441', '46772449'): 0.74
('52038441', '30342076'): 0.74
('52038441', '95500396'): 0.73
('52038441', '82361809'): 0.73
('78610936', '52038441'): 0.73
('71278040', '52038441'): 0.73
('52038441', '51822687'): 0.73
('52038441', '94620082'): 0.73
('52038441', '18789533'): 0.73
('52038441', '16188701'): 0.73
('52038441', '79559912'): 0.73
('52038441', '71734607'): 0.73
('95474755', '52038441'): 0.73
('52038441', '71002019'): 0.73
('52038441', '44097050'): 0.73
('52038441', '69164989'): 0.73
('52038441', '74203495'): 0.73
('52038441', '33909817'): 0.73
('52038441', '14087893'): 0.72
('52038441', '10000080'): 0.72
('52038441', '42632209'): 0.72
('49202162', '52038441'): 0.72
('52038441', '92812851'): 0.72
('52038441', '38694052'): 0.72
('52038441', '81035362'): 0.72
('52038441', '46593546'): 0.72
('52038441', '56495147'): 0.72
('52038441', '68941332'): 0.72
('96633955', '52038441'): 0.72
('67750322', '52038441'): 0.72
('52038441', '47710198'): 0.72
('52038441', '90809975'): 0.72
('52038441', '45819647'): 0.72
('52038441', '78917791'): 0.72
('52038441', '69248256'): 0.72
('52038441', '43227'): 0.72
('52038441', '21637210'): 0.72
('52038441', '56465981'): 0.72
('52038441', '34496660'): 0.72
('52038441', '78391364'): 0.72
('60465049', '52038441'): 0.72
('9940036', '52038441'): 0.71
('93490856', '52038441'): 0.71
('83755611', '52038441'): 0.71
('52038441', '33158448'): 0.71
('52038441', '10802915'): 0.71
('52038441', '20001443'): 0.71
('52038441', '77543769'): 0.71
('52038441', '132308'): 0.71
('52038441', '45112597'): 0.71
('52038441', '3828844'): 0.71
('52038441', '8129306'): 0.71
('52038441', '83558891'): 0.71
('52038441', '64178424'): 0.71
('41999284', '52038441'): 0.71
('52038441', '64193046'): 0.71
('52038441', '52698008'): 0.71
('52038441', '92422871'): 0.71
('52038441', '72529749'): 0.71
('52038441', '76869711'): 0.70
('84211599', '52038441'): 0.70
('65681983', '52038441'): 0.70
('52038441', '23431858'): 0.70
('52038441', '61399402'): 0.70
('52038441', '33779875'): 0.70
('52038441', '32519092'): 0.70
('52038441', '440556'): 0.70
('43202238', '52038441'): 0.70
('52038441', '45462149'): 0.70
('5560911', '52038441'): 0.70
('52038441', '29587993'): 0.70
('52038441', '56099748'): 0.70
('52038441', '16528181'): 0.70
('84941194', '52038441'): 0.70
('52038441', '14821890'): 0.70
('52038441', '81674782'): 0.70
('52038441', '79858629'): 0.70
('26692769', '52038441'): 0.69
('88504133', '52038441'): 0.69
('52038441', '22933016'): 0.69
('52038441', '14558128'): 0.69
('52038441', '59438931'): 0.69
('50954680', '52038441'): 0.69
('52038441', '6552971'): 0.69
('52038441', '59054773'): 0.69
('52038441', '74567889'): 0.69
('52038441', '53971455'): 0.69
('52038441', '88413677'): 0.69
('74586817', '52038441'): 0.69
('93850690', '52038441'): 0.69
('52038441', '54807656'): 0.69
('27204311', '52038441'): 0.69
('52038441', '16020923'): 0.69
('52038441', '29479265'): 0.69
('25311006', '52038441'): 0.69
('52038441', '85106525'): 0.69
('52038441', '97383507'): 0.69
('52038441', '15808381'): 0.69
('87052196', '52038441'): 0.69
('98159737', '52038441'): 0.69
('52038441', '1769875'): 0.68
('32909498', '52038441'): 0.68
('52038441', '38814750'): 0.68
('52038441', '72167543'): 0.68
('52038441', '33491462'): 0.68
('52038441', '38264974'): 0.68
('52038441', '33918636'): 0.68
('52038441', '53054833'): 0.68
('52038441', '28954097'): 0.68
('98462037', '52038441'): 0.68
('52038441', '57357130'): 0.68
('9464441', '52038441'): 0.68
('52038441', '27053506'): 0.68
('52038441', '92565383'): 0.68
('52038441', '46804536'): 0.68
('52038441', '49036338'): 0.68
('52038441', '14816857'): 0.68
('52038441', '65711558'): 0.68
('83326048', '52038441'): 0.68
('52038441', '55461744'): 0.68
('82044280', '52038441'): 0.68
('52038441', '23076639'): 0.68
('52038441', '86154370'): 0.68
('28674152', '52038441'): 0.68
('52038441', '35059553'): 0.68
('52038441', '102380'): 0.68
('52038441', '41306080'): 0.67
('52038441', '63136489'): 0.67
('52038441', '98978921'): 0.67
('52038441', '30114823'): 0.67
('52038441', '37520316'): 0.67
('52038441', '37675907'): 0.67
('99330325', '52038441'): 0.67
('52038441', '62709239'): 0.67
('94259633', '52038441'): 0.67
('52038441', '69452756'): 0.67
('55063751', '52038441'): 0.67
('52038441', '90036274'): 0.67
('52038441', '42429678'): 0.67
('52038441', '96945958'): 0.67
('52038441', '31849106'): 0.67
('54693926', '52038441'): 0.67
('52038441', '51497409'): 0.67
('52038441', '41463181'): 0.67
('52038441', '9726840'): 0.66
('52038441', '86682165'): 0.66
('52038441', '18252559'): 0.66
('52038441', '53932291'): 0.66
('52038441', '51227866'): 0.66
('52038441', '66401502'): 0.66
('52038441', '64591429'): 0.66
('52038441', '72813401'): 0.66
('52038441', '88686573'): 0.66
('52038441', '95245571'): 0.66
('52038441', '28168628'): 0.66
('52038441', '52354896'): 0.66
('52038441', '33945211'): 0.66
('52038441', '11962031'): 0.66
('52038441', '66192538'): 0.66
('52038441', '81275020'): 0.66
('52038441', '24010609'): 0.66
('52038441', '47759571'): 0.66
('87209160', '52038441'): 0.66
('52038441', '23361526'): 0.66
('52038441', '50005218'): 0.66
('52038441', '8491308'): 0.66
('52038441', '16725505'): 0.66
('52038441', '37351133'): 0.66
('52038441', '4810828'): 0.66
('52038441', '15443125'): 0.66
('52038441', '28677304'): 0.66
('52038441', '45725480'): 0.66
('84815190', '52038441'): 0.66
('52038441', '6728559'): 0.66
('52038441', '60195675'): 0.66
('52038441', '10406322'): 0.65
('52038441', '40975243'): 0.65
('52038441', '13533678'): 0.65
('52038441', '75147529'): 0.65
('52038441', '68934651'): 0.65
('52038441', '68353324'): 0.65
('52038441', '32453837'): 0.65
('52038441', '91951471'): 0.65
('52038441', '75922381'): 0.65
('52038441', '73309655'): 0.65
('52038441', '82041999'): 0.65
('52038441', '12421694'): 0.65
('52038441', '42110604'): 0.65
('52038441', '34755994'): 0.65
('52038441', '27345070'): 0.65
('52038441', '9091064'): 0.65
('52038441', '21903613'): 0.65
('52038441', '47330808'): 0.65
('52038441', '76145933'): 0.65
('52038441', '2311090'): 0.65
('52038441', '5772618'): 0.65
('52038441', '57134592'): 0.65
('52038441', '86976918'): 0.65
('52038441', '57103969'): 0.65
('80666118', '52038441'): 0.64
('52038441', '56196385'): 0.64
('99111753', '52038441'): 0.64
('52038441', '21200905'): 0.64
('52038441', '54562327'): 0.64
('52038441', '47163170'): 0.64
('52038441', '92895501'): 0.64
('52038441', '69680031'): 0.64
('52038441', '26077387'): 0.64
('52038441', '91073013'): 0.64
('52038441', '78274190'): 0.64
('52038441', '29280200'): 0.64
('52038441', '55171412'): 0.64
('52038441', '99550630'): 0.64
('52038441', '96708940'): 0.64
('52038441', '4931121'): 0.64
('52038441', '59120809'): 0.64
('52038441', '48770333'): 0.64
('52038441', '24068492'): 0.64
('52038441', '70070211'): 0.64
('52038441', '31059809'): 0.64
('52038441', '29302858'): 0.64
('52038441', '8953369'): 0.64
('52038441', '28912357'): 0.64
('52038441', '36468556'): 0.64
('79606837', '52038441'): 0.64
('52038441', '50810455'): 0.64
('95679145', '52038441'): 0.64
('52038441', '66407907'): 0.64
('5041348', '52038441'): 0.64
('33854624', '52038441'): 0.63
('52038441', '53286626'): 0.63
('52038441', '90673288'): 0.63
('91623717', '52038441'): 0.63
('52038441', '67557908'): 0.63
('52038441', '44708154'): 0.63
('52038441', '40605147'): 0.63
('52038441', '27520594'): 0.63
('52038441', '65563871'): 0.63
('52038441', '16037007'): 0.63
('52038441', '73345237'): 0.63
('52038441', '54757758'): 0.63
('52038441', '98338152'): 0.63
('52038441', '52340444'): 0.63
('52038441', '54498517'): 0.63
('52038441', '73468603'): 0.62
('52038441', '6983839'): 0.62
('52038441', '53129443'): 0.62
('52038441', '46291010'): 0.62
('52038441', '26847978'): 0.62
('52038441', '13117073'): 0.62
('6637331', '52038441'): 0.62
('52038441', '52331012'): 0.62
('52038441', '83488497'): 0.62
('52038441', '19882096'): 0.62
('52038441', '19048328'): 0.62
('52038441', '50642380'): 0.62
('52038441', '28403802'): 0.62
('52038441', '30802207'): 0.62
('52038441', '63288573'): 0.62
('90448279', '52038441'): 0.62
('8264361', '52038441'): 0.62
('52038441', '15693423'): 0.62
('73580471', '52038441'): 0.62
('52038441', '46372010'): 0.62
('30983281', '52038441'): 0.62
('87639778', '52038441'): 0.62
('94145022', '52038441'): 0.62
('52038441', '63166095'): 0.62
('52038441', '21044178'): 0.62
('52038441', '46877100'): 0.62
('52038441', '93896655'): 0.62
('74393852', '52038441'): 0.62
('52038441', '18313046'): 0.62
('63767246', '52038441'): 0.61
('52038441', '46565218'): 0.61
('52038441', '58543073'): 0.61
('52038441', '44478599'): 0.61
('52038441', '59640711'): 0.61
('52038441', '68250822'): 0.61
('52038441', '59531356'): 0.61
('99726621', '52038441'): 0.61
('52038441', '1845204'): 0.61
('52038441', '58699500'): 0.61
('86066372', '52038441'): 0.61
('52038441', '20618081'): 0.61
('52038441', '12148078'): 0.61
('52038441', '60883493'): 0.61
('52038441', '71607202'): 0.61
('52038441', '58036229'): 0.61
('52038441', '21516908'): 0.61
('65741786', '52038441'): 0.61
('52038441', '53577438'): 0.61
('52038441', '67723438'): 0.61
('52038441', '57624336'): 0.61
('52038441', '88836438'): 0.61
('9742784', '52038441'): 0.61
('41420027', '52038441'): 0.61
('52038441', '54191698'): 0.61
('52038441', '9839945'): 0.61
('83555666', '52038441'): 0.60
('52038441', '54257392'): 0.60
('52038441', '37582948'): 0.60
('52038441', '48686504'): 0.60
('52038441', '24207889'): 0.60
('52038441', '4408198'): 0.60
('52038441', '41373230'): 0.60
('52038441', '71007216'): 0.60
('52038441', '545781'): 0.60
('52038441', '13258285'): 0.60
('52038441', '31548215'): 0.60
('53334471', '52038441'): 0.60
('52038441', '3322931'): 0.60
('22850702', '52038441'): 0.60
('52038441', '43722862'): 0.60
('52038441', '39238953'): 0.60
('97940434', '52038441'): 0.60
('52038441', '49370016'): 0.60
('52038441', '34989413'): 0.60
('52038441', '70117860'): 0.60
('52038441', '42431833'): 0.60
('90590303', '52038441'): 0.60
('52038441', '88901994'): 0.59
('52038441', '36326160'): 0.59
('52038441', '27552504'): 0.59
('90807199', '52038441'): 0.59
('52038441', '41375811'): 0.59
('52038441', '73810864'): 0.59
('8165596', '52038441'): 0.59
('52038441', '76471944'): 0.59
('52038441', '54862960'): 0.59
('52038441', '80794697'): 0.59
('52038441', '43527730'): 0.59
('52038441', '11335209'): 0.59
('52038441', '65815684'): 0.59
('52038441', '63086455'): 0.59
('52038441', '78751195'): 0.59
('52038441', '61976639'): 0.59
('52038441', '69811710'): 0.59
('52038441', '43685562'): 0.59
('52038441', '2772337'): 0.59
('52038441', '38495396'): 0.59
('52038441', '1984618'): 0.59
('52038441', '79383919'): 0.58
('52038441', '49238328'): 0.58
('52038441', '44133040'): 0.58
('52038441', '60303688'): 0.58
('52038441', '28957126'): 0.58
('52038441', '70122149'): 0.58
('52038441', '82466274'): 0.58
('52038441', '29357687'): 0.58
('52038441', '81344637'): 0.58
('97949165', '52038441'): 0.58
('52038441', '8775395'): 0.58
('52038441', '1372887'): 0.58
('52038441', '68829754'): 0.58
('52038441', '8491961'): 0.58
('52038441', '91703676'): 0.58
('52038441', '65351555'): 0.58
('52038441', '17739335'): 0.58
('72656408', '52038441'): 0.58
('52038441', '86605184'): 0.58
('52038441', '37478723'): 0.58
('52038441', '55920742'): 0.58
('52038441', '65330383'): 0.58
('52038441', '65305978'): 0.58
('52038441', '19535693'): 0.58
('52038441', '32807846'): 0.58
('52038441', '64182380'): 0.58
('52038441', '7480763'): 0.58
('52038441', '34800281'): 0.58
('52038441', '2526224'): 0.58
('52038441', '66431519'): 0.58
('52038441', '14532163'): 0.58
('52038441', '9822220'): 0.58
('4280258', '52038441'): 0.58
('77202120', '52038441'): 0.58
('52038441', '90681088'): 0.58
('52038441', '72329844'): 0.58
('52038441', '53413628'): 0.58
('52038441', '15248594'): 0.58
('52038441', '30241314'): 0.58
('52038441', '90590304'): 0.58
('52038441', '90846359'): 0.58
('52038441', '91557476'): 0.57
('52038441', '8660395'): 0.57
('52038441', '22125101'): 0.57
('52038441', '6284176'): 0.57
('80532587', '52038441'): 0.57
('52038441', '93018428'): 0.57
('52038441', '68431965'): 0.57
('52038441', '69000994'): 0.57
('52038441', '359563'): 0.57
('52038441', '24557335'): 0.57
('52038441', '81260679'): 0.57
('27548199', '52038441'): 0.57
('52038441', '30741503'): 0.57
('86221741', '52038441'): 0.57
('52038441', '57554544'): 0.57
('43387895', '52038441'): 0.57
('52038441', '18494511'): 0.57
('52038441', '25857977'): 0.57
('52038441', '18621798'): 0.57
('74997493', '52038441'): 0.57
('52038441', '67007102'): 0.57
('52038441', '49928686'): 0.57
('52038441', '93191801'): 0.57
('52038441', '73667937'): 0.57
('52038441', '10045474'): 0.57
('52038441', '17330916'): 0.57
('7733560', '52038441'): 0.57
('3040496', '52038441'): 0.57
('52038441', '45154513'): 0.57
('52038441', '11429811'): 0.57
('52038441', '14577226'): 0.57
('52038441', '60228941'): 0.56
('81914447', '52038441'): 0.56
('52038441', '20612097'): 0.56
('52038441', '73642297'): 0.56
('52038441', '11765832'): 0.56
('52038441', '20590515'): 0.56
('36426778', '52038441'): 0.56
('52038441', '16691074'): 0.56
('52038441', '14756848'): 0.56
('52038441', '10604644'): 0.56
('52038441', '46576366'): 0.56
('52038441', '38342336'): 0.56
('52038441', '29423048'): 0.56
('52038441', '40318957'): 0.56
('52038441', '6039967'): 0.56
('52038441', '89019964'): 0.56
('52038441', '45354718'): 0.56
('75452921', '52038441'): 0.56
('52038441', '59765225'): 0.56
('52038441', '4997565'): 0.56
('52038441', '10182251'): 0.56
('52038441', '89516305'): 0.56
('52038441', '36609518'): 0.56
('52038441', '20665527'): 0.55
('52038441', '28240337'): 0.55
('52038441', '12450071'): 0.55
('52038441', '9205573'): 0.55
('52038441', '31833038'): 0.55
('52038441', '38910263'): 0.55
('52038441', '20455229'): 0.55
('52038441', '38511382'): 0.55
('52038441', '6609736'): 0.55
('52038441', '34550857'): 0.55
('52038441', '60954556'): 0.55
('52038441', '32557233'): 0.55
('52038441', '71095768'): 0.55
('52038441', '97682931'): 0.55
('92826944', '52038441'): 0.55
('52038441', '38342335'): 0.55
('52038441', '67095270'): 0.55
('65536818', '52038441'): 0.55
('52038441', '30439101'): 0.55
('52038441', '55349375'): 0.55
('79852326', '52038441'): 0.55
('52038441', '10158145'): 0.55
('52038441', '95440946'): 0.55
('52038441', '12607053'): 0.55
('52038441', '81344070'): 0.55
('24224830', '52038441'): 0.55
('52038441', '21368273'): 0.55
('52038441', '24081957'): 0.55
('79747096', '52038441'): 0.54
('52038441', '90241276'): 0.54
('52038441', '952523'): 0.54
('93672138', '52038441'): 0.54
('52038441', '75730490'): 0.54
('52038441', '2295440'): 0.54
('52038441', '41578483'): 0.54
('52038441', '90290572'): 0.54
('52038441', '20292186'): 0.54
('52038441', '57736667'): 0.54
('52038441', '14558127'): 0.54
('98045062', '52038441'): 0.54
('52038441', '87170768'): 0.54
('52038441', '64880894'): 0.54
('52038441', '35252119'): 0.54
('52038441', '57835716'): 0.54
('52038441', '33331231'): 0.54
('52038441', '72860663'): 0.54
('87451661', '52038441'): 0.54
('52038441', '9674034'): 0.54
('52038441', '21441617'): 0.54
('52038441', '44760562'): 0.54
('52038441', '25789292'): 0.54
('52038441', '42352091'): 0.54
('52038441', '18377261'): 0.54
('52038441', '63941210'): 0.54
('52038441', '23085002'): 0.53
('52038441', '38192988'): 0.53
