('58604027', '13893596'): 1.00
('64043465', '13893596'): 1.00
('13893596', '12600382'): 0.96
('33244944', '13893596'): 0.94
('33396948', '13893596'): 0.91
('76136345', '13893596'): 0.88
('51126152', '13893596'): 0.87
('7902349', '13893596'): 0.86
('8124921', '13893596'): 0.86
('70903634', '13893596'): 0.86
('44519536', '13893596'): 0.86
('3814632', '13893596'): 0.86
('90928333', '13893596'): 0.86
('76103675', '13893596'): 0.86
('60508057', '13893596'): 0.85
('32559361', '13893596'): 0.85
('13893596', '56260110'): 0.85
('81171949', '13893596'): 0.84
('45985838', '13893596'): 0.84
('88875132', '13893596'): 0.84
('45311864', '13893596'): 0.83
('98012938', '13893596'): 0.82
('13647631', '13893596'): 0.82
('90162951', '13893596'): 0.82
('21858819', '13893596'): 0.82
('24649931', '13893596'): 0.81
('51543904', '13893596'): 0.81
('36280194', '13893596'): 0.81
('91740879', '13893596'): 0.81
('89631140', '13893596'): 0.81
('674561', '13893596'): 0.81
('49140998', '13893596'): 0.81
('33767325', '13893596'): 0.81
('269012', '13893596'): 0.81
('49121795', '13893596'): 0.81
('78010363', '13893596'): 0.80
('47017574', '13893596'): 0.80
('73134082', '13893596'): 0.80
('13893596', '46130346'): 0.80
('13893596', '11110218'): 0.80
('5008836', '13893596'): 0.80
('80036543', '13893596'): 0.80
('39956951', '13893596'): 0.80
('81332143', '13893596'): 0.79
('16625614', '13893596'): 0.79
('19523799', '13893596'): 0.79
('33904024', '13893596'): 0.79
('18175965', '13893596'): 0.79
('81954378', '13893596'): 0.79
('95308449', '13893596'): 0.79
('52481437', '13893596'): 0.78
('80825553', '13893596'): 0.78
('21893603', '13893596'): 0.78
('76375976', '13893596'): 0.78
('77610772', '13893596'): 0.78
('49032236', '13893596'): 0.78
('84899094', '13893596'): 0.78
('27107590', '13893596'): 0.78
('1929294', '13893596'): 0.78
('97452817', '13893596'): 0.78
('74530899', '13893596'): 0.78
('79387392', '13893596'): 0.78
('72896720', '13893596'): 0.78
('59305593', '13893596'): 0.78
('20436034', '13893596'): 0.78
('39987164', '13893596'): 0.78
('13893596', '11012154'): 0.77
('66765023', '13893596'): 0.77
('29590752', '13893596'): 0.77
('34022290', '13893596'): 0.77
('57288708', '13893596'): 0.77
('24919805', '13893596'): 0.77
('25274141', '13893596'): 0.76
('39552864', '13893596'): 0.76
('56910167', '13893596'): 0.76
('26905245', '13893596'): 0.76
('43218406', '13893596'): 0.76
('75652080', '13893596'): 0.76
('22056710', '13893596'): 0.76
('29549364', '13893596'): 0.76
('34137269', '13893596'): 0.76
('64734921', '13893596'): 0.76
('9064354', '13893596'): 0.75
('87460579', '13893596'): 0.75
('26096328', '13893596'): 0.75
('1710476', '13893596'): 0.75
('30459350', '13893596'): 0.75
('31226177', '13893596'): 0.75
('22862454', '13893596'): 0.75
('95511642', '13893596'): 0.75
('42166000', '13893596'): 0.75
('84417082', '13893596'): 0.75
('19665973', '13893596'): 0.75
('16003979', '13893596'): 0.75
('4160316', '13893596'): 0.75
('7194917', '13893596'): 0.75
('26202165', '13893596'): 0.75
('92435533', '13893596'): 0.75
('3136426', '13893596'): 0.74
('83102080', '13893596'): 0.74
('66290900', '13893596'): 0.74
('90582719', '13893596'): 0.74
('93684009', '13893596'): 0.74
('77765207', '13893596'): 0.74
('45221020', '13893596'): 0.74
('70168345', '13893596'): 0.74
('146746', '13893596'): 0.74
('92373006', '13893596'): 0.74
('42493140', '13893596'): 0.74
('41371602', '13893596'): 0.74
('78888899', '13893596'): 0.74
('15610297', '13893596'): 0.73
('67775894', '13893596'): 0.73
('15005145', '13893596'): 0.73
('45836982', '13893596'): 0.73
('30461781', '13893596'): 0.73
('4709881', '13893596'): 0.73
('48546368', '13893596'): 0.73
('31897444', '13893596'): 0.73
('13893596', '62327910'): 0.73
('90519313', '13893596'): 0.73
('29357956', '13893596'): 0.73
('13893596', '50781944'): 0.73
('52502677', '13893596'): 0.73
('67385964', '13893596'): 0.73
('48357738', '13893596'): 0.73
('13893596', '101203059'): 0.73
('29054481', '13893596'): 0.73
('79928401', '13893596'): 0.73
('13893596', '13301895'): 0.73
('47870325', '13893596'): 0.73
('81665333', '13893596'): 0.73
('41587307', '13893596'): 0.73
('14152862', '13893596'): 0.73
('93014827', '13893596'): 0.73
('41470137', '13893596'): 0.73
('46237548', '13893596'): 0.73
('13893596', '3912064'): 0.73
('70491413', '13893596'): 0.73
('17469113', '13893596'): 0.73
('90557975', '13893596'): 0.72
('69873498', '13893596'): 0.72
('99641328', '13893596'): 0.72
('1482001', '13893596'): 0.72
('18756904', '13893596'): 0.72
('13893596', '100212002'): 0.72
('62318994', '13893596'): 0.72
('65261141', '13893596'): 0.72
('65433790', '13893596'): 0.72
('66863374', '13893596'): 0.72
('61505339', '13893596'): 0.72
('52340274', '13893596'): 0.72
('83764718', '13893596'): 0.72
('79161790', '13893596'): 0.72
('27439792', '13893596'): 0.72
('62411042', '13893596'): 0.72
('13893596', '101205033'): 0.72
('13893596', '101205004'): 0.72
('13893596', '101205005'): 0.72
('13893596', '101205068'): 0.72
('13893596', '101205002'): 0.72
('13893596', '101205003'): 0.72
('13893596', '101205001'): 0.72
('13893596', '101205053'): 0.72
('13893596', '101205054'): 0.72
('13893596', '101205055'): 0.72
('89928517', '13893596'): 0.72
('74519184', '13893596'): 0.72
('90829280', '13893596'): 0.72
('90330453', '13893596'): 0.72
('8837932', '13893596'): 0.72
('6343408', '13893596'): 0.72
('68815401', '13893596'): 0.72
('47172959', '13893596'): 0.72
('20201255', '13893596'): 0.72
('13893596', '50916353'): 0.72
('85763457', '13893596'): 0.72
('72336818', '13893596'): 0.72
('25924653', '13893596'): 0.72
('50357013', '13893596'): 0.72
('62000467', '13893596'): 0.72
('83199011', '13893596'): 0.72
('8785161', '13893596'): 0.72
('18563744', '13893596'): 0.72
('15982593', '13893596'): 0.72
('53063039', '13893596'): 0.72
('13893596', '99599062'): 0.72
('18158397', '13893596'): 0.72
('49398568', '13893596'): 0.72
('67547370', '13893596'): 0.72
('26586849', '13893596'): 0.72
('71438011', '13893596'): 0.72
('55818463', '13893596'): 0.72
('84673417', '13893596'): 0.72
('97795930', '13893596'): 0.72
('79306385', '13893596'): 0.72
('71799173', '13893596'): 0.72
('13893596', '11987744'): 0.72
('40253382', '13893596'): 0.72
('13893596', '25171661'): 0.72
('1995985', '13893596'): 0.72
('51790181', '13893596'): 0.72
('93353691', '13893596'): 0.72
('97520701', '13893596'): 0.72
('39111158', '13893596'): 0.72
('13893596', '58607704'): 0.72
('33652635', '13893596'): 0.72
('69553552', '13893596'): 0.72
('95095116', '13893596'): 0.72
('62886670', '13893596'): 0.72
('59687381', '13893596'): 0.72
('55948544', '13893596'): 0.72
('13893596', '19980975'): 0.72
('82085619', '13893596'): 0.72
('7573135', '13893596'): 0.72
('48156348', '13893596'): 0.72
('66337215', '13893596'): 0.71
('37279508', '13893596'): 0.71
('13893596', '45653036'): 0.71
('23639291', '13893596'): 0.71
('57731460', '13893596'): 0.71
('16909657', '13893596'): 0.71
('44763696', '13893596'): 0.71
('20747792', '13893596'): 0.71
('56346071', '13893596'): 0.71
('13893596', '27103517'): 0.71
