('15397015', '5650082'): 1.00
('94853057', '5650082'): 0.96
('19508728', '5650082'): 0.95
('42009836', '5650082'): 0.95
('5650082', '36975314'): 0.94
('5650082', '17393207'): 0.94
('47355498', '5650082'): 0.93
('5650082', '77538567'): 0.93
('38960450', '5650082'): 0.93
('5650082', '47961808'): 0.92
('5650082', '71564252'): 0.92
('5650082', '47475363'): 0.92
('5650082', '48745395'): 0.91
('5650082', '32785578'): 0.89
('59750328', '5650082'): 0.88
('60990740', '5650082'): 0.87
('94192409', '5650082'): 0.87
('5650082', '1118137'): 0.86
('5650082', '40838625'): 0.86
('5650082', '41855169'): 0.86
('75730490', '5650082'): 0.86
('40605147', '5650082'): 0.86
('5168381', '5650082'): 0.85
('5650082', '75249652'): 0.84
('5650082', '19403423'): 0.84
('5650082', '83986578'): 0.84
('5650082', '72405967'): 0.84
('5650082', '10963799'): 0.83
('5650082', '35199656'): 0.83
('5650082', '61283655'): 0.83
('30241314', '5650082'): 0.83
('5650082', '84749824'): 0.82
('5650082', '37561138'): 0.81
('5650082', '77307161'): 0.81
('5650082', '32448765'): 0.81
('5650082', '84797028'): 0.80
('5650082', '51011872'): 0.80
('5650082', '35371948'): 0.79
('5650082', '14365823'): 0.79
('5650082', '85562745'): 0.78
('5650082', '92246806'): 0.78
('69895264', '5650082'): 0.78
('5650082', '28630501'): 0.78
('5650082', '9070454'): 0.78
('5650082', '86750474'): 0.78
('5650082', '61936647'): 0.78
('5650082', '40971261'): 0.78
('5650082', '27012717'): 0.77
('5650082', '85970321'): 0.77
('5650082', '98414735'): 0.77
('5650082', '44947065'): 0.77
('5650082', '22386234'): 0.77
('5650082', '31305911'): 0.77
('5650082', '54175023'): 0.76
('9822220', '5650082'): 0.76
('5650082', '10813327'): 0.76
('33407125', '5650082'): 0.76
('20899496', '5650082'): 0.76
('5650082', '9952083'): 0.76
('82956214', '5650082'): 0.76
('59531356', '5650082'): 0.76
('36584821', '5650082'): 0.76
('5650082', '99267150'): 0.75
('5650082', '56119752'): 0.75
('5650082', '11082056'): 0.75
('5650082', '82697249'): 0.75
('5650082', '62481203'): 0.75
('5650082', '67095270'): 0.75
('5650082', '98700941'): 0.75
('5650082', '10019086'): 0.75
('5650082', '25244515'): 0.75
('5650082', '99188141'): 0.75
('5650082', '84687358'): 0.75
('2347656', '5650082'): 0.75
('5650082', '35035481'): 0.75
('5650082', '65247798'): 0.75
('5650082', '22862454'): 0.75
('5650082', '14970113'): 0.74
('5650082', '26905245'): 0.74
('5650082', '20522190'): 0.74
('5650082', '21481146'): 0.74
('5650082', '62279055'): 0.74
('59305593', '5650082'): 0.74
('5650082', '37926346'): 0.74
('5650082', '29649320'): 0.74
('83656563', '5650082'): 0.74
('5650082', '42166000'): 0.74
('5650082', '64765016'): 0.74
('5650082', '44822037'): 0.74
('5650082', '41302052'): 0.74
('5650082', '83555666'): 0.74
('5650082', '80796456'): 0.74
('5650082', '51960178'): 0.74
('5650082', '23924608'): 0.73
('5650082', '11510448'): 0.73
('5650082', '41440817'): 0.73
('69599136', '5650082'): 0.73
('5650082', '73915051'): 0.73
('5650082', '69069911'): 0.73
('98645731', '5650082'): 0.73
('5650082', '21076084'): 0.73
('48832775', '5650082'): 0.73
('5650082', '98169343'): 0.73
('5650082', '1149109'): 0.73
('31548215', '5650082'): 0.72
('38628859', '5650082'): 0.72
('5650082', '68295149'): 0.72
('5650082', '24207889'): 0.72
('5650082', '27918963'): 0.72
('41375811', '5650082'): 0.72
('5650082', '1005587'): 0.72
('5650082', '62873545'): 0.72
('5650082', '30459350'): 0.72
('5650082', '37576645'): 0.72
('5650082', '38296564'): 0.72
('78420796', '5650082'): 0.72
('5650082', '37742478'): 0.71
('5650082', '24348804'): 0.71
('5650082', '26842483'): 0.71
('5650082', '38761908'): 0.71
('5650082', '91505214'): 0.71
('5650082', '31755044'): 0.71
('5650082', '36361633'): 0.71
('5650082', '98139712'): 0.71
('99735427', '5650082'): 0.71
('5380979', '5650082'): 0.71
('5650082', '88000953'): 0.71
('5650082', '12607053'): 0.71
('5650082', '7733560'): 0.71
('78474168', '5650082'): 0.71
('5650082', '85888377'): 0.70
('5650082', '54903668'): 0.70
('3758046', '5650082'): 0.70
('92133240', '5650082'): 0.70
('5650082', '23898021'): 0.70
('74936480', '5650082'): 0.70
('5650082', '31437713'): 0.70
('5650082', '17706537'): 0.70
('5650082', '98427577'): 0.70
('5650082', '85004150'): 0.70
('5650082', '1154611'): 0.70
('5650082', '74530899'): 0.70
('48905153', '5650082'): 0.70
('5650082', '68779682'): 0.70
('5650082', '42421606'): 0.70
('1861629', '5650082'): 0.70
('74393852', '5650082'): 0.70
('5650082', '44095762'): 0.70
('5650082', '23656668'): 0.70
('5650082', '34031284'): 0.70
('80101899', '5650082'): 0.69
('5650082', '43250041'): 0.69
('5650082', '24903843'): 0.69
('5650082', '26273196'): 0.69
('5650082', '69452756'): 0.69
('5650082', '79323590'): 0.69
('19740112', '5650082'): 0.69
('5650082', '4145852'): 0.69
('5650082', '79852326'): 0.69
('98506199', '5650082'): 0.69
('26631975', '5650082'): 0.69
('5650082', '54635100'): 0.69
('5650082', '12014404'): 0.69
('5650082', '46918794'): 0.69
('63813056', '5650082'): 0.69
('92798873', '5650082'): 0.69
('54974237', '5650082'): 0.69
('53582587', '5650082'): 0.69
('952523', '5650082'): 0.69
('45803070', '5650082'): 0.69
('5650082', '48539234'): 0.68
('41420027', '5650082'): 0.68
('5650082', '40391316'): 0.68
('5650082', '29762407'): 0.68
('5650082', '46145256'): 0.68
('5650082', '4931121'): 0.68
('81497285', '5650082'): 0.68
('5650082', '69247929'): 0.68
('2511', '5650082'): 0.68
('29401950', '5650082'): 0.68
('5650082', '28868394'): 0.68
('5650082', '77150143'): 0.68
('5650082', '61528025'): 0.68
('48805472', '5650082'): 0.68
('5650082', '33015627'): 0.68
('23995346', '5650082'): 0.68
('5650082', '38992735'): 0.68
('5650082', '53363708'): 0.68
('5650082', '98301564'): 0.68
('5650082', '27107590'): 0.68
('5650082', '60222213'): 0.68
('5650082', '46239604'): 0.67
('5650082', '37818794'): 0.67
('74003290', '5650082'): 0.67
('5650082', '19324993'): 0.67
('63086455', '5650082'): 0.67
('5650082', '71594310'): 0.67
('29616929', '5650082'): 0.67
('75294187', '5650082'): 0.67
('5650082', '19261966'): 0.67
('5650082', '79387392'): 0.67
('5650082', '84970821'): 0.67
('5650082', '70342110'): 0.67
('5650082', '19182751'): 0.67
('5650082', '67598234'): 0.67
('59071624', '5650082'): 0.67
('5650082', '64662453'): 0.67
('91812341', '5650082'): 0.67
('5650082', '88279736'): 0.67
('5650082', '50669347'): 0.67
('54191698', '5650082'): 0.67
('5650082', '93920745'): 0.67
('18666161', '5650082'): 0.67
('5650082', '15771991'): 0.67
('5650082', '1225009'): 0.66
('1688285', '5650082'): 0.66
('5650082', '89208725'): 0.66
('90846359', '5650082'): 0.66
('1906812', '5650082'): 0.66
('5650082', '70485614'): 0.66
('5650082', '75902998'): 0.66
('27581098', '5650082'): 0.66
('5650082', '63746411'): 0.66
('5650082', '65884091'): 0.66
('5650082', '56832966'): 0.66
('5650082', '72427512'): 0.66
('5650082', '29479265'): 0.66
('5650082', '90140980'): 0.66
('52331012', '5650082'): 0.66
('5650082', '47882774'): 0.66
('79864860', '5650082'): 0.66
('5650082', '61307542'): 0.66
('5650082', '45943516'): 0.66
('5650082', '58169731'): 0.66
('5650082', '10000080'): 0.66
('34848821', '5650082'): 0.66
('5650082', '46935289'): 0.66
('5650082', '37812118'): 0.66
('6511113', '5650082'): 0.66
('5650082', '80696379'): 0.66
('5650082', '31897444'): 0.66
('5650082', '40450317'): 0.66
('5650082', '71587526'): 0.66
('75416738', '5650082'): 0.66
('5650082', '51208046'): 0.66
('5650082', '98954106'): 0.66
('48183890', '5650082'): 0.66
('5650082', '50546029'): 0.65
('1948619', '5650082'): 0.65
('5650082', '84013237'): 0.65
('92714517', '5650082'): 0.65
('5650082', '58600555'): 0.65
('60303688', '5650082'): 0.65
('5650082', '78625592'): 0.65
('5650082', '92015800'): 0.65
