('32807846', '25472513'): 0.75
('32807846', '56063182'): 0.74
('32807846', '36426778'): 0.74
('32807846', '14088859'): 0.74
('32807846', '89132148'): 0.74
('32807846', '28677304'): 0.74
('32807846', '94770493'): 0.74
('32807846', '49721904'): 0.74
('32807846', '35405755'): 0.74
('32807846', '37750912'): 0.74
('32807846', '82432018'): 0.74
('32807846', '80170678'): 0.74
('32807846', '62517849'): 0.74
('32807846', '30757127'): 0.74
('32807846', '72345736'): 0.74
('32807846', '72656408'): 0.74
('32807846', '75539614'): 0.74
('32807846', '84211599'): 0.74
('32807846', '25538345'): 0.74
('32807846', '46659709'): 0.74
('32807846', '6186304'): 0.74
('32807846', '47436247'): 0.74
('32807846', '67692580'): 0.74
('32807846', '54031490'): 0.74
('32807846', '40619825'): 0.74
('32807846', '2511717'): 0.74
('32807846', '67517351'): 0.74
('32807846', '25542642'): 0.74
('32807846', '22850702'): 0.74
('98127546', '32807846'): 0.74
('32807846', '65741786'): 0.73
('32807846', '41359411'): 0.73
('32807846', '22091647'): 0.73
('32807846', '46502744'): 0.73
('32807846', '41999284'): 0.73
('32807846', '68679595'): 0.73
('32807846', '22609617'): 0.73
('32807846', '8728498'): 0.73
('32807846', '92332424'): 0.73
('32807846', '88610708'): 0.73
('32807846', '34959756'): 0.73
('32807846', '83746708'): 0.73
('32807846', '53776969'): 0.73
('32807846', '90953320'): 0.73
('32807846', '56733747'): 0.73
('32807846', '64591429'): 0.73
('90590303', '32807846'): 0.73
('32807846', '26964762'): 0.72
('32807846', '67169062'): 0.72
('32807846', '25807544'): 0.72
('32807846', '3285551'): 0.72
('32807846', '10186633'): 0.72
('32807846', '91073013'): 0.72
('32807846', '77656797'): 0.72
('32807846', '14532163'): 0.72
('32807846', '70711847'): 0.72
('32807846', '31123642'): 0.72
('32807846', '89312388'): 0.71
('32807846', '25955749'): 0.71
('32807846', '65815684'): 0.71
('32807846', '98462037'): 0.71
('32807846', '31006879'): 0.71
('32807846', '64655485'): 0.71
('32807846', '68630939'): 0.71
('32807846', '21123811'): 0.71
('32807846', '63767246'): 0.71
('32807846', '89558743'): 0.71
('32807846', '98555327'): 0.71
('32807846', '35261759'): 0.71
('32807846', '31991800'): 0.71
('32807846', '80621253'): 0.71
('32807846', '90432163'): 0.71
('32807846', '16306932'): 0.71
('32807846', '54485355'): 0.71
('32807846', '28720123'): 0.70
('32807846', '95134948'): 0.70
('32807846', '83764719'): 0.70
('32807846', '64880894'): 0.70
('32807846', '71207871'): 0.70
('32807846', '59438930'): 0.70
('32807846', '18144506'): 0.70
('32807846', '81866673'): 0.70
('32807846', '46772449'): 0.70
('32807846', '35809262'): 0.69
('30241314', '32807846'): 0.69
('41209827', '32807846'): 0.69
('32807846', '40251688'): 0.69
('32807846', '71948047'): 0.69
('32807846', '83326048'): 0.69
('32807846', '65305468'): 0.69
('32807846', '12580477'): 0.69
('32807846', '62968263'): 0.69
('32807846', '11705261'): 0.69
('32807846', '96633955'): 0.69
('32807846', '60222582'): 0.69
('32807846', '11321089'): 0.69
('32807846', '12923641'): 0.68
('32807846', '74752631'): 0.68
('32807846', '43694650'): 0.68
('32807846', '22842126'): 0.68
('23002292', '32807846'): 0.68
('32807846', '93600443'): 0.68
('18144507', '32807846'): 0.68
('32807846', '50954680'): 0.68
('32807846', '26973555'): 0.68
('32807846', '57312333'): 0.68
('32807846', '50486289'): 0.68
('32807846', '84539520'): 0.68
('32807846', '86165817'): 0.68
('66011101', '32807846'): 0.68
('32807846', '2295440'): 0.68
('32807846', '53325667'): 0.68
('32807846', '87871125'): 0.68
('32807846', '90579153'): 0.68
('32807846', '35059553'): 0.68
('32807846', '24207889'): 0.68
('32807846', '77116346'): 0.67
('32807846', '35952884'): 0.67
('32807846', '22061412'): 0.67
('32807846', '13650422'): 0.67
('32807846', '95457011'): 0.67
('32807846', '65367484'): 0.67
('32807846', '3642509'): 0.67
('32807846', '4280258'): 0.67
('32807846', '79844764'): 0.67
('32807846', '96570609'): 0.67
('32807846', '25733157'): 0.67
('32807846', '97864322'): 0.67
('32807846', '33331231'): 0.67
('32807846', '64964750'): 0.66
('38342335', '32807846'): 0.66
('84171830', '32807846'): 0.66
('32807846', '62709239'): 0.66
('32807846', '12071500'): 0.66
('32807846', '55063751'): 0.66
('32807846', '63504681'): 0.66
('32807846', '39568067'): 0.66
('32807846', '33609262'): 0.66
('32807846', '29981921'): 0.66
('32807846', '50277355'): 0.66
('32807846', '13117073'): 0.66
('32807846', '52038441'): 0.66
('32807846', '59463312'): 0.66
('32807846', '98827725'): 0.66
('32807846', '23064604'): 0.66
('32807846', '93850652'): 0.66
('32807846', '34267821'): 0.66
('32807846', '27552504'): 0.66
('32807846', '14733538'): 0.65
('32807846', '86758746'): 0.65
('32807846', '36224040'): 0.65
('32807846', '36320744'): 0.65
('32807846', '10389142'): 0.65
('32807846', '60195675'): 0.65
('32807846', '74997493'): 0.65
('24224830', '32807846'): 0.65
('32807846', '11881272'): 0.65
('32807846', '40318957'): 0.65
('32807846', '24696097'): 0.65
('32807846', '27345070'): 0.65
('32807846', '66401502'): 0.65
('32807846', '19324993'): 0.65
('32807846', '21887175'): 0.65
('32807846', '38745520'): 0.65
('32807846', '72291078'): 0.65
('32807846', '31801517'): 0.65
('32807846', '56840427'): 0.65
('32807846', '82385847'): 0.65
('32807846', '30680659'): 0.64
('32807846', '5611760'): 0.64
('32807846', '21844576'): 0.64
('32807846', '32164201'): 0.64
('32807846', '35950025'): 0.64
('32807846', '27548199'): 0.64
('15693423', '32807846'): 0.64
('32807846', '911883'): 0.64
('32807846', '60800381'): 0.64
('32807846', '2563463'): 0.64
('32807846', '81846453'): 0.64
('32807846', '14745409'): 0.64
('32807846', '423585'): 0.64
('32807846', '63035430'): 0.64
('32807846', '4031928'): 0.64
('32807846', '58932615'): 0.64
('32807846', '72529749'): 0.64
('32807846', '43237273'): 0.64
('94259633', '32807846'): 0.63
('32807846', '91951471'): 0.63
('32807846', '28674152'): 0.63
('32807846', '85852291'): 0.63
('23434538', '32807846'): 0.63
('32807846', '79606837'): 0.63
('32807846', '73628505'): 0.63
('32807846', '49202162'): 0.63
('32807846', '74586817'): 0.63
('32807846', '3040496'): 0.63
('32807846', '57458399'): 0.63
('32807846', '18239909'): 0.63
('32807846', '37684215'): 0.63
('32807846', '23693634'): 0.63
('32807846', '38120068'): 0.63
('32807846', '26302107'): 0.63
('32807846', '59975920'): 0.63
('32807846', '80344569'): 0.63
('32807846', '28004531'): 0.62
('32807846', '93332803'): 0.62
('2857636', '32807846'): 0.62
('41420027', '32807846'): 0.62
('32807846', '20932152'): 0.62
('32807846', '37780349'): 0.62
('32807846', '22020907'): 0.62
('32807846', '3356494'): 0.62
('32807846', '27813661'): 0.62
('32807846', '90861137'): 0.62
('32807846', '95856586'): 0.62
('32807846', '12450071'): 0.62
('32807846', '46877100'): 0.62
('32807846', '68215963'): 0.62
('32807846', '86532744'): 0.62
('32807846', '64184058'): 0.62
('32807846', '17418744'): 0.62
('32807846', '44097050'): 0.62
('32807846', '92015800'): 0.62
('32807846', '10045474'): 0.62
('32807846', '13093792'): 0.62
('14558127', '32807846'): 0.62
('32807846', '89809665'): 0.61
('32807846', '7672244'): 0.61
('32807846', '31423101'): 0.61
('32807846', '56832966'): 0.61
('32807846', '24019092'): 0.61
('32807846', '59642500'): 0.61
('32807846', '30194529'): 0.61
('32807846', '20994205'): 0.61
('32807846', '63821877'): 0.61
('32807846', '87911394'): 0.61
('32807846', '21223277'): 0.61
('32807846', '83039729'): 0.61
('32807846', '67723438'): 0.61
('32807846', '95027497'): 0.61
('32807846', '54241725'): 0.61
('32807846', '63436931'): 0.61
('32807846', '89739383'): 0.61
('32807846', '14558128'): 0.61
('32807846', '38814750'): 0.61
('32807846', '20721928'): 0.61
('32807846', '27572350'): 0.61
('32807846', '43898403'): 0.61
('32807846', '71645242'): 0.60
('32807846', '97870394'): 0.60
('32807846', '61245672'): 0.60
('32807846', '18158393'): 0.60
('32807846', '23571046'): 0.60
('32807846', '83488497'): 0.60
('32807846', '37812118'): 0.60
('32807846', '63956833'): 0.60
('32807846', '48214588'): 0.60
('32807846', '22110647'): 0.60
('1475311', '32807846'): 0.60
('32807846', '26692769'): 0.60
('32807846', '48421595'): 0.60
('32807846', '8165596'): 0.60
('32807846', '98319530'): 0.59
('32807846', '74094021'): 0.59
('32807846', '53819808'): 0.59
('32807846', '52296675'): 0.59
('32807846', '25259669'): 0.59
('32807846', '97682931'): 0.59
('32807846', '33158448'): 0.59
('32807846', '5318639'): 0.59
('32807846', '97077563'): 0.59
('32807846', '41375811'): 0.59
('32807846', '62242678'): 0.59
('32807846', '102380'): 0.59
('32807846', '821049'): 0.59
('32807846', '84327329'): 0.59
('32807846', '84664085'): 0.59
('32807846', '86346643'): 0.59
('32807846', '44095762'): 0.59
('32807846', '67616300'): 0.59
('32807846', '4017398'): 0.59
('53389254', '32807846'): 0.59
('32807846', '39030163'): 0.59
('32807846', '34848821'): 0.59
('32807846', '79979666'): 0.59
('32807846', '16643334'): 0.59
('32807846', '6983839'): 0.59
('32807846', '86541496'): 0.59
('32807846', '28781003'): 0.59
('32807846', '98642179'): 0.59
('32807846', '29726552'): 0.59
('32807846', '59353647'): 0.58
('32807846', '23965033'): 0.58
('32807846', '24087580'): 0.58
('32807846', '16037007'): 0.58
('32807846', '62624486'): 0.58
('32807846', '61639289'): 0.58
('32807846', '6579928'): 0.58
('32807846', '86331741'): 0.58
('32807846', '19882096'): 0.58
('32807846', '53129443'): 0.58
('32807846', '94730900'): 0.58
('32807846', '95281259'): 0.58
('32807846', '2896663'): 0.58
('32807846', '897409'): 0.58
('32807846', '31817415'): 0.58
('32807846', '40080312'): 0.58
