('87746184', '44146295'): 1.00
('36637374', '44146295'): 1.00
('62962630', '44146295'): 1.00
('70534340', '44146295'): 0.99
('68468459', '44146295'): 0.99
('19096726', '44146295'): 0.99
('44362883', '44146295'): 0.99
('36577931', '44146295'): 0.98
('95515789', '44146295'): 0.98
('17751597', '44146295'): 0.98
('25451383', '44146295'): 0.98
('44146295', '82738008'): 0.98
('44146295', '45484331'): 0.98
('18973184', '44146295'): 0.97
('44146295', '51409648'): 0.97
('6498706', '44146295'): 0.97
('24915933', '44146295'): 0.96
('6855503', '44146295'): 0.96
('6763530', '44146295'): 0.96
('44146295', '72272462'): 0.95
('3410461', '44146295'): 0.94
('44146295', '34995106'): 0.94
('44146295', '11321089'): 0.94
('44146295', '29948294'): 0.93
('44146295', '81555617'): 0.93
('44146295', '1906812'): 0.93
('44146295', '41373230'): 0.92
('44146295', '34848821'): 0.91
('18666161', '44146295'): 0.91
('69946549', '44146295'): 0.90
('60242223', '44146295'): 0.89
('32756828', '44146295'): 0.89
('44146295', '99456344'): 0.89
('61173621', '44146295'): 0.88
('34773082', '44146295'): 0.87
('34090915', '44146295'): 0.87
('32731036', '44146295'): 0.87
('92892239', '44146295'): 0.86
('44146295', '99543666'): 0.86
('48130397', '44146295'): 0.84
('44146295', '75500286'): 0.84
('41209827', '44146295'): 0.83
('48048590', '44146295'): 0.82
('54757758', '44146295'): 0.82
('44146295', '81767888'): 0.82
('72656408', '44146295'): 0.82
('44146295', '70369116'): 0.82
('44146295', '28954097'): 0.82
('44146295', '92565383'): 0.81
('44146295', '1984618'): 0.81
('33854624', '44146295'): 0.81
('44146295', '23076639'): 0.81
('44146295', '45883110'): 0.81
('44146295', '63136489'): 0.80
('6637331', '44146295'): 0.79
('44146295', '11765832'): 0.79
('1475311', '44146295'): 0.78
('44146295', '55461744'): 0.78
('44146295', '37683547'): 0.77
('55273560', '44146295'): 0.77
('44146295', '11110587'): 0.77
('44146295', '38811586'): 0.77
('44146295', '1769875'): 0.77
('79864860', '44146295'): 0.77
('44146295', '60303688'): 0.77
('44146295', '82489470'): 0.76
('44146295', '69680031'): 0.76
('81439173', '44146295'): 0.75
('28674152', '44146295'): 0.74
('37961969', '44146295'): 0.73
('572850', '44146295'): 0.73
('44146295', '90179822'): 0.73
('44146295', '37818794'): 0.73
('44146295', '53971455'): 0.72
('92731385', '44146295'): 0.72
('44146295', '94016752'): 0.72
('44146295', '32600024'): 0.72
('44146295', '44932065'): 0.71
('44146295', '70427670'): 0.71
('84330567', '44146295'): 0.71
('24094653', '44146295'): 0.71
('44146295', '88453933'): 0.71
('44146295', '89181134'): 0.71
('28226490', '44146295'): 0.71
('44146295', '57416183'): 0.70
('44146295', '43331750'): 0.70
('44146295', '41232647'): 0.70
('73956664', '44146295'): 0.70
('44146295', '43227'): 0.70
('94977269', '44146295'): 0.70
('44146295', '55204071'): 0.70
('44146295', '38264974'): 0.70
('44146295', '23020408'): 0.69
('74078255', '44146295'): 0.69
('3717252', '44146295'): 0.69
('44146295', '35569555'): 0.69
('44146295', '62022479'): 0.69
('44146295', '24799107'): 0.69
('77103950', '44146295'): 0.69
('44146295', '52840267'): 0.69
('44146295', '35272499'): 0.69
('44146295', '62015408'): 0.69
('44146295', '4167084'): 0.68
('44146295', '24207889'): 0.68
('44146295', '7084129'): 0.68
('44146295', '95679145'): 0.68
('79109599', '44146295'): 0.68
('44146295', '56713174'): 0.68
('44146295', '87112784'): 0.67
