('92714517', '90590303'): 1.00
('90590303', '1225009'): 1.00
('5380979', '90590303'): 1.00
('81497285', '90590303'): 0.99
('74018812', '90590303'): 0.99
('37629703', '90590303'): 0.99
('2511', '90590303'): 0.99
('71607202', '90590303'): 0.98
('33407125', '90590303'): 0.96
('2347656', '90590303'): 0.96
('20899496', '90590303'): 0.95
('80532587', '90590303'): 0.93
('90590303', '94192409'): 0.93
('82956214', '90590303'): 0.92
('90590303', '66011101'): 0.91
('90590303', '91812341'): 0.90
('99937011', '90590303'): 0.90
('90590303', '75452921'): 0.89
('21044178', '90590303'): 0.89
('6767771', '90590303'): 0.89
('90590303', '82738277'): 0.89
('63542003', '90590303'): 0.89
('90590303', '74577599'): 0.89
('73956664', '90590303'): 0.89
('90590303', '83326048'): 0.89
('90590303', '5168381'): 0.89
('90590303', '49027020'): 0.88
('90590303', '73639099'): 0.88
('25926710', '90590303'): 0.88
('2857636', '90590303'): 0.87
('90590303', '75730490'): 0.87
('37961969', '90590303'): 0.87
('49238328', '90590303'): 0.87
('74078255', '90590303'): 0.87
('90590303', '55285840'): 0.87
('572850', '90590303'): 0.87
('90590303', '39552584'): 0.86
('98127546', '90590303'): 0.86
('90590303', '75416738'): 0.86
('90590303', '45803070'): 0.85
('28226490', '90590303'): 0.85
('90590303', '31548215'): 0.85
('41420027', '90590303'): 0.85
('90590303', '1329620'): 0.84
('62320425', '90590303'): 0.84
('90590303', '68957034'): 0.84
('90590303', '71278040'): 0.84
('90590303', '60990740'): 0.84
('90590303', '55990317'): 0.84
('90590303', '4280258'): 0.83
('74920585', '90590303'): 0.83
('84330567', '90590303'): 0.83
('77103950', '90590303'): 0.83
('60362066', '90590303'): 0.83
('90590303', '81519836'): 0.83
('38342335', '90590303'): 0.83
('92731385', '90590303'): 0.83
('90590303', '9350312'): 0.82
('90590303', '36745317'): 0.82
('90590303', '93229151'): 0.82
('90590303', '60228941'): 0.82
('90590303', '9822220'): 0.82
('90590303', '51452091'): 0.82
('8264361', '90590303'): 0.82
('90590303', '12801833'): 0.82
('90590303', '46772449'): 0.82
('54974237', '90590303'): 0.81
('90590303', '77895328'): 0.81
('90590303', '1688285'): 0.81
('90590303', '33017655'): 0.81
('90448279', '90590303'): 0.81
('27381364', '90590303'): 0.81
('90590303', '84211599'): 0.81
('90590303', '42166000'): 0.81
('90590303', '6511113'): 0.81
('90590303', '62541668'): 0.80
('90590303', '10000080'): 0.80
('90590303', '67835547'): 0.80
('90590303', '34230233'): 0.80
('90590303', '30430448'): 0.80
('82732705', '90590303'): 0.80
('35726888', '90590303'): 0.80
('90590303', '63086455'): 0.80
('90590303', '94445733'): 0.80
('90590303', '40605147'): 0.80
('90590303', '48183890'): 0.80
('90590303', '20618850'): 0.80
('90590303', '66712905'): 0.80
('90590303', '69599136'): 0.79
('90590303', '41406613'): 0.79
('90590303', '40318957'): 0.79
('69946549', '90590303'): 0.79
('90590303', '6855503'): 0.79
('90590303', '18666161'): 0.78
('90590303', '92385016'): 0.78
('90590303', '59531356'): 0.78
('23002292', '90590303'): 0.78
('90590303', '54757758'): 0.78
('38436986', '90590303'): 0.78
('3758046', '90590303'): 0.78
('90590303', '31562086'): 0.77
('90590303', '59071624'): 0.77
('15693423', '90590303'): 0.77
('90590303', '86066372'): 0.77
('90590303', '92919429'): 0.77
('90590303', '952523'): 0.77
('90590303', '92107604'): 0.77
('90590303', '11765832'): 0.77
('90590303', '79109599'): 0.77
('90590303', '73941492'): 0.77
('90590303', '16428514'): 0.77
('90590303', '5697558'): 0.77
('90590303', '48461764'): 0.76
('90590303', '47355498'): 0.76
('90590303', '72329844'): 0.76
('90590303', '28373620'): 0.76
