('30603688', '96471335'): 1.00
('7922915', '96471335'): 0.99
('1784686', '96471335'): 0.99
('95477924', '96471335'): 0.98
('96471335', '71703785'): 0.98
('59514116', '96471335'): 0.98
('96471335', '60709218'): 0.97
('3078380', '96471335'): 0.97
('48680970', '96471335'): 0.97
('96471335', '73452089'): 0.97
('96471335', '75190122'): 0.97
('2314238', '96471335'): 0.97
('47222536', '96471335'): 0.97
('96471335', '75380687'): 0.97
('96471335', '85551711'): 0.96
('41721210', '96471335'): 0.96
('96471335', '35191415'): 0.96
('23020408', '96471335'): 0.96
('7084129', '96471335'): 0.96
('96471335', '31699677'): 0.96
('50237654', '96471335'): 0.96
('96471335', '98502113'): 0.95
('21862633', '96471335'): 0.95
('96471335', '60948488'): 0.95
('38033121', '96471335'): 0.95
('96471335', '43892408'): 0.94
('86509711', '96471335'): 0.94
('84433295', '96471335'): 0.93
('85059922', '96471335'): 0.93
('96471335', '11827244'): 0.93
('71696014', '96471335'): 0.92
('96471335', '12266229'): 0.92
('46986414', '96471335'): 0.92
('96471335', '63391643'): 0.92
('96471335', '47963370'): 0.90
('97631303', '96471335'): 0.90
('96471335', '22634473'): 0.90
('96471335', '73616671'): 0.89
('96471335', '14152862'): 0.89
('96471335', '9287078'): 0.89
('96471335', '111280'): 0.88
('96471335', '7198399'): 0.88
('5829717', '96471335'): 0.87
('31226177', '96471335'): 0.87
('96471335', '20747792'): 0.86
('96471335', '41735184'): 0.86
('96471335', '49702428'): 0.85
('34755994', '96471335'): 0.85
('96471335', '70168345'): 0.84
('96471335', '82404868'): 0.84
('68462976', '96471335'): 0.82
('96471335', '39913299'): 0.81
('96471335', '71384012'): 0.81
('96471335', '40737112'): 0.80
('96471335', '56132807'): 0.79
('96471335', '34318086'): 0.79
('96471335', '16964437'): 0.79
('96471335', '96239878'): 0.79
('96471335', '15256925'): 0.78
('96471335', '67227834'): 0.78
('96471335', '73752131'): 0.78
('96471335', '82627406'): 0.78
('96471335', '29436665'): 0.78
('96471335', '69145169'): 0.77
('96471335', '21082832'): 0.77
('96471335', '91336701'): 0.77
('37818794', '96471335'): 0.76
('96471335', '13735899'): 0.76
('96471335', '42006475'): 0.75
('96471335', '13758665'): 0.74
('96471335', '59094601'): 0.74
('96471335', '92918648'): 0.73
('49202162', '96471335'): 0.73
('96471335', '28553439'): 0.72
('96471335', '89448140'): 0.72
('96471335', '87769556'): 0.72
('96729612', '96471335'): 0.72
('96471335', '66889139'): 0.72
('96471335', '70252926'): 0.72
('96471335', '13604200'): 0.72
('96471335', '45725480'): 0.72
('96471335', '50755'): 0.72
('96471335', '85182315'): 0.71
('48048590', '96471335'): 0.71
('96471335', '18446701'): 0.71
('23314220', '96471335'): 0.71
('96471335', '88619463'): 0.71
('96471335', '99789342'): 0.70
('45819647', '96471335'): 0.70
('96471335', '70551291'): 0.70
('96471335', '61557074'): 0.70
('96471335', '82382815'): 0.70
('96471335', '69542930'): 0.70
('96471335', '34710660'): 0.69
('96471335', '41175645'): 0.69
('96471335', '92015800'): 0.69
('96471335', '65301952'): 0.69
('96471335', '77683371'): 0.69
('79864860', '96471335'): 0.69
('86377375', '96471335'): 0.69
('96471335', '54878729'): 0.68
('96471335', '51531505'): 0.68
('96471335', '79613121'): 0.68
('96471335', '16037007'): 0.68
('96471335', '67310848'): 0.68
('96471335', '79206925'): 0.68
('96471335', '80304126'): 0.67
('96471335', '46052429'): 0.67
('96471335', '15989522'): 0.67
('96471335', '31924889'): 0.67
('96471335', '67598234'): 0.67
('6172122', '96471335'): 0.67
('96471335', '72443568'): 0.67
('50756327', '96471335'): 0.66
('96471335', '27657173'): 0.66
('96471335', '38590361'): 0.66
('96471335', '41147577'): 0.66
('96471335', '26082117'): 0.66
('96471335', '78193831'): 0.66
('89739383', '96471335'): 0.66
('96471335', '44405066'): 0.66
('41209827', '96471335'): 0.66
('96471335', '85646474'): 0.66
('14824019', '96471335'): 0.66
('96471335', '67775894'): 0.65
('73599290', '96471335'): 0.65
('96471335', '37561138'): 0.65
('96471335', '71074418'): 0.65
('96471335', '10000020'): 0.65
('96471335', '10000000'): 0.65
('96471335', '72989439'): 0.65
('96471335', '52101615'): 0.65
('96471335', '10667321'): 0.65
('96471335', '54484652'): 0.65
('96471335', '26905245'): 0.65
('96471335', '79816536'): 0.65
('96471335', '30208479'): 0.64
('96471335', '58657303'): 0.64
('96471335', '92377303'): 0.64
('96471335', '85679527'): 0.64
('96471335', '99523325'): 0.64
('96471335', '56773577'): 0.64
('96471335', '21663205'): 0.64
('96471335', '32360466'): 0.63
('96471335', '34130561'): 0.63
('96471335', '7913375'): 0.63
('59160188', '96471335'): 0.63
('96471335', '95474755'): 0.63
('96471335', '40089744'): 0.63
('6498706', '96471335'): 0.63
('96471335', '45667991'): 0.63
('96471335', '15066114'): 0.63
('96471335', '90434657'): 0.63
('96471335', '2106266'): 0.63
('1861629', '96471335'): 0.63
('28776350', '96471335'): 0.63
('17393207', '96471335'): 0.63
('96471335', '79339613'): 0.62
('96471335', '83340560'): 0.62
('96471335', '16165939'): 0.62
('96471335', '74677422'): 0.62
('96471335', '6387204'): 0.62
('96471335', '42166000'): 0.62
('70369116', '96471335'): 0.62
('96471335', '67616300'): 0.62
('96471335', '15146890'): 0.62
('96471335', '1482001'): 0.62
('96471335', '33413279'): 0.62
('96471335', '61525276'): 0.62
('34848821', '96471335'): 0.62
('96471335', '53701457'): 0.62
('96471335', '60195675'): 0.62
('96471335', '59123194'): 0.62
('96471335', '16404809'): 0.62
('96471335', '7241272'): 0.61
('96471335', '36045450'): 0.61
('96471335', '25407643'): 0.61
('96471335', '5253985'): 0.61
('96471335', '53485634'): 0.61
('96471335', '10239627'): 0.61
('96471335', '30213599'): 0.61
('96471335', '7799906'): 0.61
('96471335', '45948430'): 0.61
('96471335', '2519690'): 0.61
('96471335', '60080151'): 0.61
('96471335', '93023479'): 0.61
('96471335', '21639276'): 0.61
('96471335', '24317029'): 0.60
('96471335', '10000010'): 0.60
('46986415', '96471335'): 0.60
('96471335', '47349116'): 0.60
('82732705', '96471335'): 0.60
('96471335', '98978921'): 0.60
('96471335', '12450071'): 0.60
('96471335', '49941059'): 0.60
('38033122', '96471335'): 0.60
('96471335', '21113684'): 0.60
('96471335', '17720747'): 0.60
('33508719', '96471335'): 0.60
('96471335', '88000953'): 0.60
('96471335', '32754886'): 0.60
('62849088', '96471335'): 0.60
('96471335', '5405694'): 0.60
('96471335', '31077447'): 0.60
('96471335', '21970285'): 0.60
('96471335', '71625222'): 0.60
('96471335', '62279055'): 0.59
('2263869', '96471335'): 0.59
('1906812', '96471335'): 0.59
('96471335', '40252269'): 0.59
('80117527', '96471335'): 0.59
('40838625', '96471335'): 0.59
('96471335', '76076738'): 0.59
('96471335', '7841921'): 0.59
('96471335', '61248471'): 0.59
('96471335', '29904964'): 0.59
('96471335', '15981690'): 0.59
('44095762', '96471335'): 0.59
('96471335', '76792184'): 0.59
('86331741', '96471335'): 0.59
('96471335', '81210420'): 0.59
('96471335', '78861134'): 0.59
('96471335', '57139487'): 0.59
('96471335', '40164421'): 0.59
('96471335', '73779005'): 0.59
('96471335', '70000776'): 0.59
('96471335', '88232397'): 0.58
('94259633', '96471335'): 0.58
('96471335', '30450531'): 0.58
('96471335', '66574418'): 0.58
('96471335', '33904024'): 0.58
('96471335', '52869807'): 0.58
('81866673', '96471335'): 0.58
('96471335', '56570271'): 0.58
('96471335', '10813327'): 0.58
('5650082', '96471335'): 0.58
('96471335', '28711704'): 0.58
('96471335', '11321089'): 0.58
('96471335', '55969226'): 0.58
('96471335', '57869175'): 0.58
('96471335', '50725996'): 0.58
('96471335', '87210505'): 0.58
('8264361', '96471335'): 0.58
('47475363', '96471335'): 0.58
('96471335', '71413901'): 0.58
('96471335', '39387565'): 0.58
('96471335', '10000080'): 0.58
('96471335', '65342096'): 0.58
('96471335', '36996508'): 0.58
('96471335', '25774450'): 0.58
('96471335', '72064891'): 0.58
('96471335', '69351984'): 0.58
('96471335', '69069911'): 0.58
('84749824', '96471335'): 0.57
('96471335', '17871506'): 0.57
('96471335', '25280974'): 0.57
('96471335', '64977888'): 0.57
('96471335', '770365'): 0.57
('70493141', '96471335'): 0.57
('96471335', '62397231'): 0.57
('96471335', '94203886'): 0.57
('96471335', '3825890'): 0.57
('40605147', '96471335'): 0.57
('96471335', '10817524'): 0.57
('96471335', '92353449'): 0.57
('96471335', '17016362'): 0.57
('96471335', '8910971'): 0.57
('47355498', '96471335'): 0.57
('4931121', '96471335'): 0.57
('96471335', '3606728'): 0.57
('60942444', '96471335'): 0.57
('96471335', '77565204'): 0.57
('96471335', '79266769'): 0.57
('39910367', '96471335'): 0.57
('96471335', '56461575'): 0.57
('96471335', '3428069'): 0.57
('99916754', '96471335'): 0.57
('96471335', '16589042'): 0.56
('96471335', '36350300'): 0.56
('96471335', '46363422'): 0.56
('70534340', '96471335'): 0.56
('96471335', '77637979'): 0.56
('96471335', '12923641'): 0.56
('96471335', '3381441'): 0.56
('96471335', '32687071'): 0.56
('96471335', '45627618'): 0.56
('96471335', '6628343'): 0.56
('96471335', '30086349'): 0.56
('96471335', '33245030'): 0.56
('96471335', '13722870'): 0.56
