('2857636', '38342335'): 1.00
('38342335', '65741786'): 0.99
('38342335', '1225009'): 0.98
('38342335', '71607202'): 0.98
('74018812', '38342335'): 0.97
('37629703', '38342335'): 0.97
('92714517', '38342335'): 0.97
('5380979', '38342335'): 0.97
('81497285', '38342335'): 0.97
('38342335', '86066372'): 0.97
('38342335', '75452921'): 0.96
('2511', '38342335'): 0.96
('98127546', '38342335'): 0.95
('38342335', '99266988'): 0.95
('8264361', '38342335'): 0.95
('38342335', '31443476'): 0.95
('38342335', '15381421'): 0.94
('38342335', '4280258'): 0.94
('27381364', '38342335'): 0.93
('33407125', '38342335'): 0.93
('2347656', '38342335'): 0.93
('49238328', '38342335'): 0.93
('38342335', '68464358'): 0.93
('80532587', '38342335'): 0.92
('38342335', '96729612'): 0.92
('38342335', '73539069'): 0.92
('38342335', '83326048'): 0.92
('38342335', '54498517'): 0.92
('38342335', '99234526'): 0.92
('38342335', '21887175'): 0.91
('38342335', '90590303'): 0.91
('38342335', '76145933'): 0.91
('38342335', '22850702'): 0.91
('32731036', '38342335'): 0.91
('38342335', '43527730'): 0.91
('38342335', '81260679'): 0.91
('20899496', '38342335'): 0.91
('38342335', '84211599'): 0.90
('60242223', '38342335'): 0.90
('38342335', '15443125'): 0.89
('38342335', '65734501'): 0.89
('38342335', '41999284'): 0.89
('38342335', '27412542'): 0.89
('38342335', '26236560'): 0.89
('38342335', '61901281'): 0.89
('82956214', '38342335'): 0.89
('38342335', '37617348'): 0.89
('38342335', '38814750'): 0.89
('6637331', '38342335'): 0.89
('33854624', '38342335'): 0.89
('38342335', '72167543'): 0.89
('38342335', '72656408'): 0.89
('38342335', '27548199'): 0.89
('38342335', '53417695'): 0.88
('38342335', '79606837'): 0.88
('54974237', '38342335'): 0.88
('38342335', '10802915'): 0.88
('38342335', '18377261'): 0.88
('38342335', '6327734'): 0.88
('38342335', '29479265'): 0.88
('38342335', '67680512'): 0.88
('38342335', '92919429'): 0.88
('38342335', '94192409'): 0.87
('38342335', '24361622'): 0.87
('38342335', '93969023'): 0.87
('38342335', '102380'): 0.87
('38342335', '45819647'): 0.87
('38342335', '44649322'): 0.87
('90448279', '38342335'): 0.87
('38342335', '98338152'): 0.87
('38342335', '38339996'): 0.87
('38342335', '75922381'): 0.87
('38342335', '80801743'): 0.87
('38342335', '35269904'): 0.87
('38342335', '63288573'): 0.87
('38342335', '90673288'): 0.87
('38342335', '65330383'): 0.87
('38342335', '26077387'): 0.87
('38342335', '3040496'): 0.87
('54334420', '38342335'): 0.87
('18940725', '38342335'): 0.87
('34090915', '38342335'): 0.87
('38342335', '61292243'): 0.86
('38342335', '2311090'): 0.86
('15693423', '38342335'): 0.86
('38342335', '48815792'): 0.86
('91800273', '38342335'): 0.86
('38342335', '13533678'): 0.86
('69087397', '38342335'): 0.86
('38342335', '82361809'): 0.86
('38342335', '65681983'): 0.86
('38342335', '5969957'): 0.86
('82732705', '38342335'): 0.86
('38342335', '37495766'): 0.85
('38342335', '9726840'): 0.85
('38342335', '94145021'): 0.85
('38342335', '49036338'): 0.85
('38342335', '97631303'): 0.85
('25311006', '38342335'): 0.85
('27204311', '38342335'): 0.85
('38342335', '62265044'): 0.85
('38342335', '32909498'): 0.85
('38342335', '83488497'): 0.85
('1475311', '38342335'): 0.85
('38342335', '19535693'): 0.85
('38342335', '98630720'): 0.85
('38342335', '98645731'): 0.85
('38342335', '63166095'): 0.85
('38342335', '97268402'): 0.85
('38342335', '41165831'): 0.85
('38342335', '66011101'): 0.85
('38342335', '36668118'): 0.85
('32756828', '38342335'): 0.85
('38342335', '13143275'): 0.85
('38342335', '46877100'): 0.85
('38342335', '55920742'): 0.85
('38342335', '60228941'): 0.85
('38342335', '67748760'): 0.85
('38342335', '84815190'): 0.85
('38342335', '8491308'): 0.85
('38342335', '70711847'): 0.85
('38342335', '97661969'): 0.85
('38342335', '11969228'): 0.85
('38342335', '94259633'): 0.85
('38342335', '93084621'): 0.85
('41420027', '38342335'): 0.84
('38342335', '8267140'): 0.84
('38342335', '32807846'): 0.84
('38342335', '67723438'): 0.84
('38342335', '14532163'): 0.84
('38342335', '48770333'): 0.84
('38342335', '19882096'): 0.84
('38342335', '77895328'): 0.84
('38342335', '5168381'): 0.84
('38342335', '35405755'): 0.84
('38342335', '56713174'): 0.84
('38342335', '52105192'): 0.84
('38342335', '30748475'): 0.84
('38342335', '24299458'): 0.84
('38342335', '89558743'): 0.84
('38342335', '53624265'): 0.84
('38342335', '81914447'): 0.84
('38342335', '59120809'): 0.84
('38342335', '60303245'): 0.84
('38342335', '80845034'): 0.84
('38342335', '68304193'): 0.84
('38342335', '63941210'): 0.84
('38342335', '14087893'): 0.84
('38342335', '31149212'): 0.84
('24508238', '38342335'): 0.84
('18144507', '38342335'): 0.84
('38342335', '53776969'): 0.84
('38342335', '33017655'): 0.84
('38342335', '12266229'): 0.84
('38342335', '68353324'): 0.83
('38342335', '70368879'): 0.83
('38342335', '43694650'): 0.83
('21044178', '38342335'): 0.83
('38342335', '94392192'): 0.83
('38342335', '59438930'): 0.83
('38342335', '11765832'): 0.83
('38342335', '58921041'): 0.83
('38342335', '69540484'): 0.83
('38342335', '41406613'): 0.83
('38342335', '31588572'): 0.83
('38342335', '73642296'): 0.83
('38342335', '55878038'): 0.83
('38342335', '29302858'): 0.83
('38342335', '28674152'): 0.83
('38342335', '73542331'): 0.83
('38342335', '75730490'): 0.83
('38342335', '35261759'): 0.83
('38342335', '80044027'): 0.83
('38342335', '49202162'): 0.83
('38342335', '35480699'): 0.83
('38342335', '54562327'): 0.83
('38342335', '28168628'): 0.83
('38342335', '56063182'): 0.83
('38342335', '9822220'): 0.83
('38342335', '24269961'): 0.83
('38342335', '54693926'): 0.82
('38342335', '83558891'): 0.82
('38342335', '41443249'): 0.82
('38342335', '34230233'): 0.82
('38342335', '57736667'): 0.82
('38342335', '49725936'): 0.82
('38342335', '48626373'): 0.82
('38342335', '78534861'): 0.82
('38342335', '85289965'): 0.82
('38342335', '55063751'): 0.82
('99937011', '38342335'): 0.82
('38342335', '93854893'): 0.82
('63542003', '38342335'): 0.82
('38342335', '47325505'): 0.82
('38342335', '92895501'): 0.82
('38342335', '40605147'): 0.82
('38342335', '29596581'): 0.82
('38342335', '80117527'): 0.82
('23002292', '38342335'): 0.82
('38342335', '73810864'): 0.81
('38342335', '68957034'): 0.81
('38342335', '78199891'): 0.81
('38342335', '99745551'): 0.81
('38342335', '52350806'): 0.81
('38342335', '29280200'): 0.81
('38342335', '1966438'): 0.81
('38342335', '10000080'): 0.81
('38342335', '39552584'): 0.81
('38342335', '43898403'): 0.81
('38342335', '24207889'): 0.81
('24224830', '38342335'): 0.81
('38342335', '23020408'): 0.81
