('55410871', '46052429'): 1.00
('46052429', '20654247'): 0.99
('21082832', '46052429'): 0.96
('53303460', '46052429'): 0.96
('80701178', '46052429'): 0.95
('93437091', '46052429'): 0.95
('64202399', '46052429'): 0.93
('46052429', '70551291'): 0.93
('95492061', '46052429'): 0.93
('48800175', '46052429'): 0.92
('38517737', '46052429'): 0.91
('46052429', '18474999'): 0.91
('40908371', '46052429'): 0.91
('46052429', '7672244'): 0.90
('46052429', '36350300'): 0.90
('59822133', '46052429'): 0.90
('46052429', '35815783'): 0.90
('30576089', '46052429'): 0.90
('2129638', '46052429'): 0.89
('56532353', '46052429'): 0.89
('46052429', '15983048'): 0.89
('46052429', '19489718'): 0.89
('88241506', '46052429'): 0.89
('8240199', '46052429'): 0.89
('71039903', '46052429'): 0.89
('6853254', '46052429'): 0.89
('46052429', '65877963'): 0.89
('46052429', '11443677'): 0.89
('45467446', '46052429'): 0.88
('62089826', '46052429'): 0.88
('71143015', '46052429'): 0.88
('66961194', '46052429'): 0.88
('46052429', '99426088'): 0.88
('39701395', '46052429'): 0.88
('56920308', '46052429'): 0.88
('46052429', '98234196'): 0.88
('46052429', '40089744'): 0.87
('16229315', '46052429'): 0.87
('79814787', '46052429'): 0.86
('46052429', '86758915'): 0.86
('82085295', '46052429'): 0.86
('47963370', '46052429'): 0.85
('46052429', '31036355'): 0.85
('22804410', '46052429'): 0.85
('46052429', '66156348'): 0.85
('46052429', '45655875'): 0.85
('46052429', '69522668'): 0.85
('46052429', '45877457'): 0.84
('46052429', '98904974'): 0.84
('38120068', '46052429'): 0.84
('23401839', '46052429'): 0.84
('89631139', '46052429'): 0.84
('46052429', '71159974'): 0.84
('46052429', '32013448'): 0.84
('97403510', '46052429'): 0.83
('23995346', '46052429'): 0.83
('2978414', '46052429'): 0.83
('87025064', '46052429'): 0.83
('21862633', '46052429'): 0.83
('46052429', '45948430'): 0.83
('41620959', '46052429'): 0.83
('28400508', '46052429'): 0.83
('46052429', '6628343'): 0.82
('46052429', '68300121'): 0.82
('51786039', '46052429'): 0.82
('54484652', '46052429'): 0.81
('46052429', '68295149'): 0.81
('46052429', '2783661'): 0.81
('46052429', '54408264'): 0.80
('57314798', '46052429'): 0.80
('46052429', '19025379'): 0.80
('46052429', '69145169'): 0.80
('35659410', '46052429'): 0.80
('46052429', '10158145'): 0.79
('88177324', '46052429'): 0.79
('62873545', '46052429'): 0.79
('72426662', '46052429'): 0.79
('46052429', '51510279'): 0.79
('64332231', '46052429'): 0.78
('57995165', '46052429'): 0.78
('46935289', '46052429'): 0.78
('57043986', '46052429'): 0.78
('73898890', '46052429'): 0.78
('71490127', '46052429'): 0.77
('46052429', '96239878'): 0.77
('46052429', '26988374'): 0.77
('85059922', '46052429'): 0.77
('39030163', '46052429'): 0.77
('46052429', '87054946'): 0.76
('18963306', '46052429'): 0.76
('3292267', '46052429'): 0.76
('22634473', '46052429'): 0.76
('29432790', '46052429'): 0.76
('46052429', '79234734'): 0.76
('46052429', '799183'): 0.76
('46052429', '40493210'): 0.76
('46052429', '38695361'): 0.76
('47017574', '46052429'): 0.76
('29311166', '46052429'): 0.76
('46052429', '11674673'): 0.75
('46052429', '50669347'): 0.75
('95477924', '46052429'): 0.75
('46052429', '72989439'): 0.75
('66698383', '46052429'): 0.75
('46052429', '14094090'): 0.74
('46052429', '12923641'): 0.74
('33698022', '46052429'): 0.74
('66425726', '46052429'): 0.74
('23020408', '46052429'): 0.74
('59514116', '46052429'): 0.74
('46052429', '34627841'): 0.74
('46052429', '12266229'): 0.73
('46052429', '74852097'): 0.73
('7084129', '46052429'): 0.73
('40838625', '46052429'): 0.73
('1639384', '46052429'): 0.73
('47222536', '46052429'): 0.73
('51124303', '46052429'): 0.73
('46052429', '72855441'): 0.73
('48680970', '46052429'): 0.73
('46052429', '57617178'): 0.73
('2314238', '46052429'): 0.73
('26674724', '46052429'): 0.73
('48348921', '46052429'): 0.73
('5405694', '46052429'): 0.73
('3078380', '46052429'): 0.73
('28346136', '46052429'): 0.73
('698785', '46052429'): 0.72
('75190122', '46052429'): 0.72
('31801517', '46052429'): 0.72
('46052429', '25857246'): 0.72
('46052429', '32360466'): 0.72
('46052429', '33245030'): 0.72
('46052429', '22046459'): 0.72
('81823360', '46052429'): 0.72
('46052429', '25774450'): 0.72
('30603688', '46052429'): 0.72
('73452089', '46052429'): 0.72
('60709218', '46052429'): 0.72
('46052429', '69035382'): 0.72
('8198712', '46052429'): 0.71
('43096270', '46052429'): 0.71
('46052429', '96404912'): 0.71
('71703785', '46052429'): 0.71
('43228023', '46052429'): 0.71
('89463537', '46052429'): 0.71
('31699677', '46052429'): 0.71
('46052429', '84914462'): 0.71
('46052429', '50371210'): 0.71
('46052429', '35629124'): 0.70
('46052429', '10667321'): 0.70
