('95474755', '21639276'): 1.00
('94392192', '21639276'): 0.99
('21639276', '45725480'): 0.98
('21639276', '46291010'): 0.97
('70493141', '21639276'): 0.97
('78144171', '21639276'): 0.96
('33925864', '21639276'): 0.95
('78534861', '21639276'): 0.95
('31149212', '21639276'): 0.94
('73542331', '21639276'): 0.94
('80117527', '21639276'): 0.94
('34447918', '21639276'): 0.94
('44405066', '21639276'): 0.92
('69540484', '21639276'): 0.92
('48626373', '21639276'): 0.92
('97526666', '21639276'): 0.90
('71832012', '21639276'): 0.90
('21639276', '53701457'): 0.90
('4928565', '21639276'): 0.90
('68304193', '21639276'): 0.89
('21639276', '10389142'): 0.88
('21639276', '16169772'): 0.87
('23689428', '21639276'): 0.86
('91800273', '21639276'): 0.86
('81674782', '21639276'): 0.86
('21639276', '60195675'): 0.84
('22110647', '21639276'): 0.84
('21639276', '16037007'): 0.84
('21639276', '92015800'): 0.83
('21639276', '8953369'): 0.82
('8728498', '21639276'): 0.82
('30241314', '21639276'): 0.82
('21639276', '55171412'): 0.81
('96633955', '21639276'): 0.79
('38694052', '21639276'): 0.78
('29726552', '21639276'): 0.78
('98978921', '21639276'): 0.78
('32909498', '21639276'): 0.77
('65305468', '21639276'): 0.76
('26973555', '21639276'): 0.76
('64591429', '21639276'): 0.75
('35405755', '21639276'): 0.75
('28674152', '21639276'): 0.75
('27243130', '21639276'): 0.75
('21639276', '95685352'): 0.75
('3285551', '21639276'): 0.75
('97661969', '21639276'): 0.74
('21639276', '102380'): 0.73
('2563463', '21639276'): 0.73
('72090076', '21639276'): 0.73
('32807846', '21639276'): 0.73
('84815190', '21639276'): 0.73
('49202162', '21639276'): 0.73
('39568067', '21639276'): 0.73
('38745520', '21639276'): 0.73
('72291078', '21639276'): 0.73
('35269904', '21639276'): 0.72
('84211599', '21639276'): 0.72
('44097050', '21639276'): 0.71
('97940434', '21639276'): 0.71
('92107604', '21639276'): 0.71
('68957034', '21639276'): 0.70
('4031928', '21639276'): 0.70
('30680659', '21639276'): 0.70
('28373620', '21639276'): 0.70
('15291624', '21639276'): 0.70
('94445733', '21639276'): 0.70
('82385847', '21639276'): 0.70
('21639276', '26302107'): 0.70
('55990317', '21639276'): 0.70
('30430448', '21639276'): 0.70
('43262273', '21639276'): 0.70
('65681983', '21639276'): 0.70
('93229151', '21639276'): 0.70
('21639276', '39238953'): 0.70
('21887175', '21639276'): 0.69
('67835547', '21639276'): 0.69
('20618850', '21639276'): 0.69
('31562086', '21639276'): 0.69
('90448279', '21639276'): 0.69
('70711847', '21639276'): 0.68
('94016752', '21639276'): 0.68
('66712905', '21639276'): 0.68
('21639276', '90502999'): 0.68
('59120809', '21639276'): 0.68
('81914447', '21639276'): 0.68
('21639276', '14087893'): 0.68
('19535693', '21639276'): 0.67
('74997493', '21639276'): 0.67
('6609736', '21639276'): 0.67
('35261759', '21639276'): 0.67
('55063751', '21639276'): 0.67
('65741786', '21639276'): 0.67
('21639276', '13258285'): 0.67
('44708154', '21639276'): 0.67
('28403802', '21639276'): 0.67
('49370016', '21639276'): 0.67
('25311006', '21639276'): 0.66
('21639276', '21915012'): 0.66
('50642380', '21639276'): 0.66
('52038441', '21639276'): 0.66
('56063182', '21639276'): 0.66
('55920742', '21639276'): 0.66
('74586817', '21639276'): 0.66
('21639276', '28677304'): 0.66
('51822687', '21639276'): 0.66
('21639276', '11738489'): 0.66
('98127546', '21639276'): 0.66
('59438930', '21639276'): 0.66
('16691074', '21639276'): 0.66
('18313046', '21639276'): 0.66
('49036338', '21639276'): 0.66
('21639276', '8628798'): 0.66
('60465049', '21639276'): 0.66
('30674956', '21639276'): 0.65
('82041999', '21639276'): 0.65
('21639276', '48996569'): 0.65
('21639276', '81566151'): 0.65
('98452268', '21639276'): 0.65
('43685562', '21639276'): 0.65
('21639276', '68073522'): 0.64
('92731385', '21639276'): 0.64
('47219274', '21639276'): 0.64
('37675907', '21639276'): 0.64
('96471335', '21639276'): 0.64
('21639276', '12923641'): 0.64
('15693423', '21639276'): 0.64
('97631303', '21639276'): 0.64
('37961969', '21639276'): 0.64
('38814750', '21639276'): 0.64
('73956664', '21639276'): 0.64
('99111753', '21639276'): 0.64
('35480699', '21639276'): 0.64
('45627618', '21639276'): 0.64
('84330567', '21639276'): 0.63
('49238328', '21639276'): 0.63
('54693926', '21639276'): 0.63
('21639276', '46877100'): 0.63
('572850', '21639276'): 0.63
('67723438', '21639276'): 0.63
('46986414', '21639276'): 0.63
('21639276', '12580477'): 0.63
('21639276', '82308875'): 0.63
('28226490', '21639276'): 0.63
('9742784', '21639276'): 0.63
('92519087', '21639276'): 0.63
('7084129', '21639276'): 0.63
('6767771', '21639276'): 0.63
('77103950', '21639276'): 0.62
('83558891', '21639276'): 0.62
('21639276', '12266229'): 0.62
('22850702', '21639276'): 0.62
('86120751', '21639276'): 0.62
('74920585', '21639276'): 0.62
('92385016', '21639276'): 0.62
('21639276', '1329620'): 0.62
('21639276', '83488497'): 0.62
('42198835', '21639276'): 0.62
('23020408', '21639276'): 0.62
('27548199', '21639276'): 0.62
('62015408', '21639276'): 0.61
('28297833', '21639276'): 0.61
('93490856', '21639276'): 0.61
('21639276', '19882096'): 0.61
('53129443', '21639276'): 0.61
('82361809', '21639276'): 0.61
('38436986', '21639276'): 0.61
('49587034', '21639276'): 0.61
('56495147', '21639276'): 0.61
('43694650', '21639276'): 0.61
('21639276', '10000080'): 0.60
('98045062', '21639276'): 0.60
('47222536', '21639276'): 0.60
('53776969', '21639276'): 0.60
('21639276', '56809158'): 0.60
('41420027', '21639276'): 0.60
('18144507', '21639276'): 0.60
('55285840', '21639276'): 0.60
('73642296', '21639276'): 0.60
('21639276', '11765832'): 0.60
('69248256', '21639276'): 0.60
('20001443', '21639276'): 0.60
('21639276', '29415459'): 0.60
('47679935', '21639276'): 0.60
('30748475', '21639276'): 0.60
('70070211', '21639276'): 0.59
('21639276', '6387204'): 0.59
('1861629', '21639276'): 0.59
('72656408', '21639276'): 0.59
('27204311', '21639276'): 0.59
('41721210', '21639276'): 0.59
('60362066', '21639276'): 0.59
('33878367', '21639276'): 0.59
('56099748', '21639276'): 0.59
('23656668', '21639276'): 0.59
('56465981', '21639276'): 0.59
('38342335', '21639276'): 0.59
('23002292', '21639276'): 0.59
('5041348', '21639276'): 0.59
('48680970', '21639276'): 0.59
('89558743', '21639276'): 0.59
('93850690', '21639276'): 0.59
('74063034', '21639276'): 0.59
('47710198', '21639276'): 0.58
('50237654', '21639276'): 0.58
('6728559', '21639276'): 0.58
('59514116', '21639276'): 0.58
('21639276', '10813327'): 0.58
('55273560', '21639276'): 0.58
('69946549', '21639276'): 0.58
('34090915', '21639276'): 0.58
('21639276', '13076804'): 0.58
('3078380', '21639276'): 0.58
('75286621', '21639276'): 0.57
('36956512', '21639276'): 0.57
('21639276', '14532163'): 0.57
('66403530', '21639276'): 0.57
('24299458', '21639276'): 0.57
('58921041', '21639276'): 0.57
('71095768', '21639276'): 0.57
('95477924', '21639276'): 0.57
('75500286', '21639276'): 0.57
('61488417', '21639276'): 0.57
('21639276', '29595202'): 0.57
('54757758', '21639276'): 0.57
('21639276', '85507811'): 0.57
('21639276', '15066114'): 0.57
('41209827', '21639276'): 0.57
('91949988', '21639276'): 0.57
('61668670', '21639276'): 0.57
('57450198', '21639276'): 0.57
('14821890', '21639276'): 0.57
('21639276', '13117073'): 0.57
('23431858', '21639276'): 0.56
('59531356', '21639276'): 0.56
('30603688', '21639276'): 0.56
('21639276', '82489470'): 0.56
('63845230', '21639276'): 0.56
('25926710', '21639276'): 0.56
('21639276', '42166000'): 0.56
('6637331', '21639276'): 0.56
('86066372', '21639276'): 0.56
('55623480', '21639276'): 0.56
('90590303', '21639276'): 0.56
('8264361', '21639276'): 0.56
('2857636', '21639276'): 0.56
('84749824', '21639276'): 0.56
('21639276', '26118970'): 0.56
('9464441', '21639276'): 0.56
('63542003', '21639276'): 0.56
('25789292', '21639276'): 0.56
('83764719', '21639276'): 0.55
('24842059', '21639276'): 0.55
('21639276', '41619242'): 0.55
('575512', '21639276'): 0.55
('65536818', '21639276'): 0.55
('98462037', '21639276'): 0.55
